course_code,page_id,text,href,download_attr
PHY-212,00271-phy-212-module-item-syllabus-u2026-pdf-general-physics-with-calculus-ph-212-400-u2026,Download syllabus_U2026.pdf,https://canvas.oregonstate.edu/courses/2053526/files/119369072/download?download_frd=1,true
PHY-212,00275-phy-212-module-item-lab-structure-and-ta-meetings-pdf-general-physics-with-calculus-ph-212-400-u2026,Download Lab Structure and TA Meetings.pdf,https://canvas.oregonstate.edu/courses/2053526/files/119307451/download?download_frd=1,true
PHY-212,00281-phy-212-module-item-gradescope-general-physics-with-calculus-ph-212-400-u2026,CamScanner,https://canvas.oregonstate.edu/courses/2053526/files/118705530/download?wrap=1,
PHY-212,00281-phy-212-module-item-gradescope-general-physics-with-calculus-ph-212-400-u2026,Download CamScanner,https://canvas.oregonstate.edu/courses/2053526/files/118705530/download?download_frd=1,
PHY-212,00281-phy-212-module-item-gradescope-general-physics-with-calculus-ph-212-400-u2026,Scannable or GeniusScan,https://canvas.oregonstate.edu/courses/2053526/files/118706071/download?wrap=1,
PHY-212,00281-phy-212-module-item-gradescope-general-physics-with-calculus-ph-212-400-u2026,Download Scannable or GeniusScan,https://canvas.oregonstate.edu/courses/2053526/files/118706071/download?download_frd=1,
PHY-212,00282-phy-212-module-item-proctorio-setup-and-troubleshooting-general-physics-with-calculus-ph-212-400-u2026,Download Proctorio Guide,https://canvas.oregonstate.edu/courses/2053526/files/118705575/download?download_frd=1,
PHY-212,00285-phy-212-module-item-first-day-overview-pdf-general-physics-with-calculus-ph-212-400-u2026,Download first day overview.pdf,https://canvas.oregonstate.edu/courses/2053526/files/119256249/download?download_frd=1,true
PHY-212,00293-phy-212-module-item-module-1-circular-motion-learning-materials-general-physics-with-calculus-ph-212-400-u2026,Download Quiz 1 practice,https://canvas.oregonstate.edu/courses/2053526/files/118705966/download?download_frd=1,
PHY-212,00293-phy-212-module-item-module-1-circular-motion-learning-materials-general-physics-with-calculus-ph-212-400-u2026,Download Quiz 1 practice solutions,https://canvas.oregonstate.edu/courses/2053526/files/118705439/download?download_frd=1,
PHY-212,00299-phy-212-module-item-lab-2-instructions-general-physics-with-calculus-ph-212-400-u2026,Download,https://canvas.oregonstate.edu/courses/2053526/files/119307451/download?download_frd=1,
PHY-212,00308-phy-212-module-item-excel-skills-handout-general-physics-with-calculus-ph-212-400-u2026,Download PH211_Excel-Skills-Ref.xlsx,https://canvas.oregonstate.edu/courses/2053526/files/118706030/download?download_frd=1,
PHY-212,00308-phy-212-module-item-excel-skills-handout-general-physics-with-calculus-ph-212-400-u2026,Download PH211_Basic-Excel-Workflows.pptx,https://canvas.oregonstate.edu/courses/2053526/files/118706028/download?download_frd=1,
PHY-212,00308-phy-212-module-item-excel-skills-handout-general-physics-with-calculus-ph-212-400-u2026,Download PH211_DATA_time-distance.txt,https://canvas.oregonstate.edu/courses/2053526/files/118706032/download?download_frd=1,
PHY-212,00308-phy-212-module-item-excel-skills-handout-general-physics-with-calculus-ph-212-400-u2026,Download PH211_Excel-Skills-Ref.xlsx,https://canvas.oregonstate.edu/courses/2053526/files/118706030/download?download_frd=1,
PHY-212,00308-phy-212-module-item-excel-skills-handout-general-physics-with-calculus-ph-212-400-u2026,Download PH211_Excel-Data-Analysis.pptx,https://canvas.oregonstate.edu/courses/2053526/files/118706035/download?download_frd=1,
PHY-212,00308-phy-212-module-item-excel-skills-handout-general-physics-with-calculus-ph-212-400-u2026,Download PH211_Excel-Skills-Ref.xlsx,https://canvas.oregonstate.edu/courses/2053526/files/118706030/download?download_frd=1,
PHY-212,00308-phy-212-module-item-excel-skills-handout-general-physics-with-calculus-ph-212-400-u2026,Download PH211_Excel-Skills-Ref.xlsx,https://canvas.oregonstate.edu/courses/2053526/files/118706030/download?download_frd=1,
PHY-212,00308-phy-212-module-item-excel-skills-handout-general-physics-with-calculus-ph-212-400-u2026,Download PH211_Excel-Derivitives-Integrals.pptx,https://canvas.oregonstate.edu/courses/2053526/files/118706027/download?download_frd=1,
PHY-212,00310-phy-212-module-item-module-3-gravity-learning-materials-general-physics-with-calculus-ph-212-400-u2026,Download Quiz 2 practice,https://canvas.oregonstate.edu/courses/2053526/files/119457478/download?download_frd=1,
PHY-212,00310-phy-212-module-item-module-3-gravity-learning-materials-general-physics-with-calculus-ph-212-400-u2026,Download Quiz 2 practice solutions,https://canvas.oregonstate.edu/courses/2053526/files/119457479/download?download_frd=1,
MTH-252,00343-mth-252-linked-detail-whw1-key-pdf-integral-calculus-mth-252z-400-u2026,Download WHW1-Key.pdf,https://canvas.oregonstate.edu/courses/2080857/files/119223581/download?download_frd=1,true
MTH-252,00344-mth-252-linked-detail-whw2-key-pdf-integral-calculus-mth-252z-400-u2026,Download WHW2-Key.pdf,https://canvas.oregonstate.edu/courses/2080857/files/119223582/download?download_frd=1,true
MTH-252,00345-mth-252-linked-detail-whw3-key-pdf-integral-calculus-mth-252z-400-u2026,Download WHW3-Key.pdf,https://canvas.oregonstate.edu/courses/2080857/files/119223584/download?download_frd=1,true
MTH-252,00346-mth-252-linked-detail-mth-252z-400-syllabus-u26-gilliam-1-pdf-integral-calculus-mth-252z-400-u2026,Download MTH 252Z-400 Syllabus U26 Gilliam-1.pdf,https://canvas.oregonstate.edu/courses/2080857/files/119353385/download?download_frd=1,true
MTH-252,00347-mth-252-linked-detail-syllabus-and-calendar-as-of-7-05-both-sections-400-and-401-integral-calculus-mth-252z-400-u2026,Download MTH 252Z-400 Syllabus U26 Gilliam-1.pdf,https://canvas.oregonstate.edu/courses/2080857/files/119353385/download?download_frd=1,
MTH-252,00347-mth-252-linked-detail-syllabus-and-calendar-as-of-7-05-both-sections-400-and-401-integral-calculus-mth-252z-400-u2026,Download MTH 252Z-401 Syllabus U26 Gilliam-1.pdf,https://canvas.oregonstate.edu/courses/2080857/files/119353386/download?download_frd=1,
MTH-252,00347-mth-252-linked-detail-syllabus-and-calendar-as-of-7-05-both-sections-400-and-401-integral-calculus-mth-252z-400-u2026,Download MTH-252-Online-Course-Calendar.pdf,https://canvas.oregonstate.edu/courses/2080857/files/119246095/download?download_frd=1,
MTH-252,00348-mth-252-linked-detail-mth-252z-401-syllabus-u26-gilliam-1-pdf-integral-calculus-mth-252z-400-u2026,Download MTH 252Z-401 Syllabus U26 Gilliam-1.pdf,https://canvas.oregonstate.edu/courses/2080857/files/119353386/download?download_frd=1,true
MTH-252,00349-mth-252-linked-detail-mth-252-online-course-calendar-pdf-integral-calculus-mth-252z-400-u2026,Download MTH-252-Online-Course-Calendar.pdf,https://canvas.oregonstate.edu/courses/2080857/files/119246095/download?download_frd=1,true
MTH-252,00350-mth-252-linked-detail-achieve-registration-process-v3-pdf-integral-calculus-mth-252z-400-u2026,Download Achieve Registration Process_v3.pdf,https://canvas.oregonstate.edu/courses/2080857/files/119223565/download?download_frd=1,true
MTH-252,00352-mth-252-linked-detail-mlc-hours-pdf-integral-calculus-mth-252z-400-u2026,Download MLC Hours.pdf,https://canvas.oregonstate.edu/courses/2080857/files/119223484/download?download_frd=1,true
MTH-252,00356-mth-252-linked-detail-252-lecture-1-1-to-me1-pdf-integral-calculus-mth-252z-400-u2026,Download 252-Lecture-1.1-to-ME1.pdf,https://canvas.oregonstate.edu/courses/2080857/files/119223553/download?download_frd=1,true
MTH-252,00364-mth-252-linked-detail-me1-u26-template-pdf-integral-calculus-mth-252z-400-u2026,Download ME1-U26-Template.pdf,https://canvas.oregonstate.edu/courses/2080857/files/119363995/download?download_frd=1,true
MTH-252,00365-mth-252-linked-detail-unit-1-student-study-guide-pdf-integral-calculus-mth-252z-400-u2026,Download Unit-1-Student-Study-Guide.pdf,https://canvas.oregonstate.edu/courses/2080857/files/119223514/download?download_frd=1,true
MTH-252,00366-mth-252-linked-detail-unit-1-student-study-guide-key-pdf-integral-calculus-mth-252z-400-u2026,Download Unit-1-Student-Study-Guide-Key.pdf,https://canvas.oregonstate.edu/courses/2080857/files/119223497/download?download_frd=1,true
MTH-252,00368-mth-252-linked-detail-252-lecture-1-3-to-me2-pdf-integral-calculus-mth-252z-400-u2026,Download 252-Lecture-1.3-to-ME2.pdf,https://canvas.oregonstate.edu/courses/2080857/files/119223594/download?download_frd=1,true
MTH-252,00370-mth-252-linked-detail-whw3-template-1-pdf-integral-calculus-mth-252z-400-u2026,Download WHW3-Template-1.pdf,https://canvas.oregonstate.edu/courses/2080857/files/119223574/download?download_frd=1,true
MTH-252,00371-mth-252-linked-detail-module-3-written-homework-whw-3-3-hours,Download WHW3-Template-1.pdf,https://canvas.oregonstate.edu/courses/2080857/files/119223574/download?download_frd=1,
MTH-252,00377-mth-252-linked-detail-252-lecture-1-3-to-me2-pdf-integral-calculus-mth-252z-400-u2026,Download 252-Lecture-1.3-to-ME2.pdf,https://canvas.oregonstate.edu/courses/2080857/files/119223594/download?download_frd=1,true
MTH-252,00384-mth-252-linked-detail-whw4-template-1-pdf-integral-calculus-mth-252z-400-u2026,Download WHW4-Template-1.pdf,https://canvas.oregonstate.edu/courses/2080857/files/119223566/download?download_frd=1,true
MTH-252,00385-mth-252-linked-detail-whw4-template-pdf-integral-calculus-mth-252z-400-u2026,Download WHW4-Template.pdf,https://canvas.oregonstate.edu/courses/2080857/files/119223525/download?download_frd=1,true
MTH-252,00386-mth-252-linked-detail-module-4-written-homework-whw-4-3-hours,Download WHW4-Template-1.pdf,https://canvas.oregonstate.edu/courses/2080857/files/119223566/download?download_frd=1,
MTH-252,00390-mth-252-linked-detail-me2-w26-template-pdf-integral-calculus-mth-252z-400-u2026,Download ME2-W26-Template.pdf,https://canvas.oregonstate.edu/courses/2080857/files/119223587/download?download_frd=1,true
MTH-252,00391-mth-252-linked-detail-me2-w26-template-1-pdf-integral-calculus-mth-252z-400-u2026,Download ME2-W26-Template-1.pdf,https://canvas.oregonstate.edu/courses/2080857/files/119223588/download?download_frd=1,true
MTH-252,00392-mth-252-linked-detail-unit-2-student-study-guide-pdf-integral-calculus-mth-252z-400-u2026,Download Unit-2-Student-Study-Guide.pdf,https://canvas.oregonstate.edu/courses/2080857/files/119223496/download?download_frd=1,true
MTH-252,00393-mth-252-linked-detail-u2-sg-partial-key-pdf-integral-calculus-mth-252z-400-u2026,Download U2-SG-Partial-Key.pdf,https://canvas.oregonstate.edu/courses/2080857/files/119223585/download?download_frd=1,true
MTH-252,00395-mth-252-linked-detail-mini-exam-2-no-calculators-on-this-exam,Download ME2-W26-Template.pdf,https://canvas.oregonstate.edu/courses/2080857/files/119223587/download?download_frd=1,
MTH-252,00395-mth-252-linked-detail-mini-exam-2-no-calculators-on-this-exam,Download ME2-W26-Template-1.pdf,https://canvas.oregonstate.edu/courses/2080857/files/119223588/download?download_frd=1,
MTH-252,00395-mth-252-linked-detail-mini-exam-2-no-calculators-on-this-exam,Download Unit-2-Student-Study-Guide.pdf,https://canvas.oregonstate.edu/courses/2080857/files/119223496/download?download_frd=1,
MTH-252,00395-mth-252-linked-detail-mini-exam-2-no-calculators-on-this-exam,Download U2-SG-Partial-Key.pdf,https://canvas.oregonstate.edu/courses/2080857/files/119223585/download?download_frd=1,
MTH-252,00395-mth-252-linked-detail-mini-exam-2-no-calculators-on-this-exam,Download IVP-Wksht1.pdf,https://canvas.oregonstate.edu/courses/1918585/files/99187575/download?download_frd=1,
MTH-252,00395-mth-252-linked-detail-mini-exam-2-no-calculators-on-this-exam,Download IVP-Wksht2.pdf,https://canvas.oregonstate.edu/courses/1918585/files/99187581/download?download_frd=1,
MTH-252,00397-mth-252-linked-detail-252-lecture-3-1-to-me3-pdf-integral-calculus-mth-252z-400-u2026,Download 252-Lecture-3.1-to-ME3.pdf,https://canvas.oregonstate.edu/courses/2080857/files/119223561/download?download_frd=1,true
MTH-252,00403-mth-252-linked-detail-whw5-template-pdf-integral-calculus-mth-252z-400-u2026,Download WHW5-Template.pdf,https://canvas.oregonstate.edu/courses/2080857/files/119223503/download?download_frd=1,true
MTH-252,00404-mth-252-linked-detail-module-5-written-homework-whw-5-3-hours,Download WHW5-Template.pdf,https://canvas.oregonstate.edu/courses/2080857/files/119223503/download?download_frd=1,
