review_id,task_id,course_code,title,reason,source_surfaces,importance,hrefs
rq-00035,MTH-252-fundamental-theorem-of-calc-ftoc-area-function-links-to-an-external-site,MTH-252,Fundamental Theorem of Calc (FToC): Area function Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/jyRdHbHeUuU
rq-00036,MTH-252-area-accumulation-graph-analysis-openstax-specific-links-to-an-external-site,MTH-252,Area Accumulation Graph Analysis (OpenStax Specific) Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/yjJ1JIvX7t4
rq-00037,MTH-252-fundamental-theorem-of-calc-ftoc-definite-integrals-links-to-an-external-site,MTH-252,Fundamental Theorem of Calc (FToC): Definite integrals Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/ZTqEj1NyGPw
rq-00038,MTH-252-ftoc-setup-and-solve-links-to-an-external-site,MTH-252,FToC: Setup and solve Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/YE9jpfxEFYk
rq-00039,MTH-252-ftoc-example-links-to-an-external-site,MTH-252,FToC: Example Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/gJtkTRjqM6I
rq-00040,MTH-252-ftoc-polynomial-example-links-to-an-external-site,MTH-252,FToC: Polynomial example Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/X5ke8bUiiQM
rq-00041,MTH-252-ftoc-trig-example-links-to-an-external-site,MTH-252,FToC: Trig example Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/GwOhAkU-A0M
rq-00042,MTH-252-ftoc-example-using-area-links-to-an-external-site,MTH-252,FToC: Example using area Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/zdWBJTOfdiM
rq-00043,MTH-252-the-antiderivative-1-links-to-an-external-site,MTH-252,The antiderivative 1 Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/US8p_qO4Or8
rq-00044,MTH-252-the-antiderivative-2-links-to-an-external-site,MTH-252,The antiderivative 2 Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/0s4_ojV_HNY
rq-00045,MTH-252-the-antiderivative-trig-links-to-an-external-site,MTH-252,The antiderivative (trig) Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/7TPVm_DwsYE
rq-00046,MTH-252-find-antiderivative-2-links-to-an-external-site,MTH-252,Find antiderivative 2 Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/-_FJ1V5_Fcc
rq-00047,MTH-252-find-antiderivative-3-links-to-an-external-site,MTH-252,Find antiderivative 3 Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/KM61G41NKGY
rq-00048,MTH-252-average-value-of-a-function-links-to-an-external-site,MTH-252,Average value of a function Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/2ikYbP6DpzE
rq-00049,MTH-252-average-value-find-c-value-s-alta-specific-links-to-an-external-site,MTH-252,Average Value: Find C Value(s) (Alta Specific) Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/20XiiJFlgd0
rq-00050,MTH-252-average-value-of-f-continued-links-to-an-external-site,MTH-252,Average value of f continued Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/3BxBjhsoF6o
rq-00051,MTH-252-average-temperature-links-to-an-external-site,MTH-252,Average temperature Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/ba7HOTlDBec
rq-00052,MTH-252-application-average-value-of-investment-links-to-an-external-site,MTH-252,Application: Average value of investment Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/80fxxec6ihM
rq-00053,MTH-252-intro-net-change-theorem-links-to-an-external-site,MTH-252,Intro: Net change theorem Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/EivFp4mscX4
rq-00054,MTH-252-net-change-in-population-links-to-an-external-site,MTH-252,Net change in population Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/jX2MPRxtTwE
rq-00055,MTH-252-net-displacement-at-time-t-alta-specific-links-to-an-external-site,MTH-252,Net Displacement at Time t (Alta Specific) Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/HLYafwRnYyk
rq-00056,MTH-252-area-under-the-curve-interpretation-velocity-links-to-an-external-site,MTH-252,"Area under the curve: Interpretation, velocity Links to an external site.",module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/Z_OHgubPJKA
rq-00057,MTH-252-velocity-example-1-links-to-an-external-site,MTH-252,Velocity example 1 Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/VS2CEu6qbUg
rq-00058,MTH-252-future-value-links-to-an-external-site,MTH-252,Future value Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/rlyoHQn8eSY
rq-00059,MTH-252-integration-odd-even-functions-links-to-an-external-site,MTH-252,Integration: Odd/Even functions Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/gxcZ80pWOx0
rq-00060,MTH-252-integration-odd-even-function-continued-links-to-an-external-site,MTH-252,Integration: Odd/Even function continued Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/MKM_E81rFII
rq-00061,MTH-252-intro-substitution-links-to-an-external-site,MTH-252,Intro. Substitution Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/568hUU4beuk
rq-00062,MTH-252-intro-substitution-continued-links-to-an-external-site,MTH-252,Intro. Substitution continued Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/3MbdmYeYB_I
rq-00063,MTH-252-substitution-with-definite-integrals-links-to-an-external-site,MTH-252,Substitution with definite integrals Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/emRDaSYCLMs
rq-00064,MTH-252-substitution-example-rational-function-links-to-an-external-site,MTH-252,Substitution example: Rational function Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/hauyUjzRTos
rq-00065,MTH-252-substitution-example-exponential-links-to-an-external-site,MTH-252,Substitution example: Exponential Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/YvrmGNyHs90
rq-00066,MTH-252-substitution-example-trig-links-to-an-external-site,MTH-252,Substitution example: Trig Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/YvrmGNyHs90
rq-00067,MTH-252-substitution-inverse-trig-example-1-links-to-an-external-site,MTH-252,Substitution: Inverse trig example 1 Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/J6MvP8SYVfo
rq-00068,MTH-252-substitution-inverse-trig-example-2-links-to-an-external-site,MTH-252,Substitution: Inverse trig example 2 Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/ypoOeSJjp4k
rq-00069,MTH-252-substitution-example-logarithms-links-to-an-external-site,MTH-252,Substitution example: Logarithms Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/FJHHQdQEecE
rq-00070,MTH-252-substitution-example-rational-function-with-logs-links-to-an-external-site,MTH-252,Substitution example: Rational function with logs Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/VY5r1-9apdc
rq-00071,MTH-252-substitution-example-composed-exponential-with-trig-links-to-an-external-site,MTH-252,Substitution example: Composed exponential with trig Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/zherIhRjLtM
rq-00072,MTH-252-substitution-with-indefinite-integral-links-to-an-external-site,MTH-252,Substitution with indefinite integral Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/GQC0YcyEzto
rq-00073,MTH-252-example-problems-exponentials-links-to-an-external-site,MTH-252,Example problems: Exponentials Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/D9dqdbCgJQM
rq-00074,MTH-252-integrating-exponentials-example-2-links-to-an-external-site,MTH-252,Integrating exponentials: example 2 Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/DffQa5SyMSE
rq-00075,MTH-252-integrating-exponentials-example-3-links-to-an-external-site,MTH-252,Integrating exponentials: Example 3 Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/BNSonfQqHA4
rq-00076,MTH-252-integrating-natural-log-alta-specific-links-to-an-external-site,MTH-252,Integrating Natural Log (Alta Specific) Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/ZL3rzP04cGQ
rq-00077,MTH-252-intro-integration-by-parts-links-to-an-external-site,MTH-252,Intro. Integration by Parts Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/xmFK_mG120k
rq-00078,MTH-252-intro-integration-by-parts-definite-integral-links-to-an-external-site,MTH-252,Intro. Integration by Parts: Definite integral Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/aA15lSLSxgE
rq-00079,MTH-252-intro-indefinite-integral-continued-links-to-an-external-site,MTH-252,Intro. indefinite integral continued Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/tP34NbvFbW4
rq-00080,MTH-252-intro-integration-by-parts-example-1-links-to-an-external-site,MTH-252,Intro. Integration by Parts example 1 Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/815s-YB9X44
rq-00081,MTH-252-indefinite-integral-example-2-links-to-an-external-site,MTH-252,Indefinite integral: Example 2 Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/sW7tMxXTM0A
rq-00082,MTH-252-indefinite-integral-example-3-links-to-an-external-site,MTH-252,Indefinite integral: Example 3 Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/7YWWtQqcXBc
rq-00083,MTH-252-indefinite-integral-example-4-exponential-links-to-an-external-site,MTH-252,"Indefinite integral: Example 4, exponential Links to an external site.",module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/7YWWtQqcXBc
rq-00084,MTH-252-indefinite-integral-log-links-to-an-external-site,MTH-252,Indefinite integral: log Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/uieKq2dCWRY
rq-00085,MTH-252-indefinite-integral-trig-times-linear-links-to-an-external-site,MTH-252,Indefinite integral: Trig times linear Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/uuzC16awVIo
rq-00086,MTH-252-indefinite-integral-exponential-ibp-twice,MTH-252,"Indefinite integral: Exponential, IBP twice",module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982730
rq-00087,MTH-252-indefinite-integral-exponential-and-trig-ibp-twice-and-solve-links-to-an-externa,MTH-252,"Indefinite integral: Exponential and trig, IBP twice and solve Links to an external site.",module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/xuwt8YzF8To
rq-00088,MTH-252-intro-trigonometric-integrals-with-an-odd-power-links-to-an-external-site,MTH-252,Intro. Trigonometric integrals with an ODD power Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/Sv-bSbAQeXc
rq-00089,MTH-252-trig-integrals-example-2-with-odd-power-links-to-an-external-site,MTH-252,Trig Integrals: Example 2 with ODD power Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/vPnuigP8I6I
rq-00090,MTH-252-trig-integrals-example-3-with-odd-power-links-to-an-external-site,MTH-252,Trig Integrals: Example 3 with ODD power Links to an external site.,module_required_item_not_found_in_grade_or_assignment_surface,modules,required_ungraded_blocker,https://youtu.be/RIwKmPRtWFM
