task_id,course_id,course_code,title,task_type,importance,required,graded,due,available,source_surfaces,module_titles,hrefs,confidence
PHY-212-get-your-ph-211-course-materials,2053526,PHY-212,Get your PH 211 Course Materials!,page,required_ungraded_blocker,yes,no,,,modules,Course information,https://canvas.oregonstate.edu/courses/2053526/modules/items/26992779,0.75
PHY-212-pre-lecture-partial-credit,2053526,PHY-212,Pre-lecture partial credit,lecture_video,prerequisite,yes,no,,,modules,Course information,https://canvas.oregonstate.edu/courses/2053526/modules/items/26896942,0.75
PHY-212-virtual-wormhole-getting-assistance,2053526,PHY-212,Virtual Wormhole - Getting assistance,page,required_ungraded_blocker,yes,no,,,modules,Course information,https://canvas.oregonstate.edu/courses/2053526/modules/items/26896944,0.75
PHY-212-scanned-text-on-reserve-at-library,2053526,PHY-212,Scanned text on reserve at library,page,required_ungraded_blocker,yes,no,,,modules,Course information,https://canvas.oregonstate.edu/courses/2053526/modules/items/26896945,0.75
PHY-212-gradescope,2053526,PHY-212,Gradescope,page,required_ungraded_blocker,yes,no,,,modules,Course information,https://canvas.oregonstate.edu/courses/2053526/modules/items/26896946,0.75
PHY-212-proctorio-setup-and-troubleshooting,2053526,PHY-212,Proctorio setup and troubleshooting,page,required_ungraded_blocker,yes,no,,,modules,Course information,https://canvas.oregonstate.edu/courses/2053526/modules/items/26896947,0.75
PHY-212-opt-out-of-lab,2053526,PHY-212,Opt-out of lab,lab,required_ungraded_blocker,yes,no,,,modules,Course information,https://canvas.oregonstate.edu/courses/2053526/modules/items/26896948,0.75
PHY-212-oer-physics-textbook,2053526,PHY-212,OER Physics textbook,reading,required_ungraded_blocker,yes,no,,,modules,Course information,https://canvas.oregonstate.edu/courses/2053526/modules/items/26896949,0.75
PHY-212-first-day-overview,2053526,PHY-212,First day overview,reference,useful_reference,unknown,no,,,modules,Course information,https://canvas.oregonstate.edu/courses/2053526/modules/items/26997777,0.75
PHY-212-general-discussion-faqs,2053526,PHY-212,General Discussion & FAQs,discussion,optional,no,no,,,modules,Student resources,https://canvas.oregonstate.edu/courses/2053526/modules/items/26896950,0.75
PHY-212-ph-211-instructional-videos,2053526,PHY-212,PH 211 Instructional videos,lecture_video,prerequisite,yes,no,,,modules,Student resources,https://canvas.oregonstate.edu/courses/2053526/modules/items/26896951,0.75
PHY-212-financial-resources-and-more,2053526,PHY-212,Financial resources and more,page,required_ungraded_blocker,yes,no,,,modules,Student resources,https://canvas.oregonstate.edu/courses/2053526/modules/items/26896952,0.75
PHY-212-academic-misconduct-scenarios,2053526,PHY-212,Academic Misconduct Scenarios,page,required_ungraded_blocker,yes,no,,,modules,Student resources,https://canvas.oregonstate.edu/courses/2053526/modules/items/26896953,0.75
PHY-212-scanned-text-on-reserve-at-the-library,2053526,PHY-212,Scanned text on reserve at the library,page,required_ungraded_blocker,yes,no,,,modules,Student resources,https://canvas.oregonstate.edu/courses/2053526/modules/items/26896954,0.75
PHY-212-help-getting-internet,2053526,PHY-212,Help getting internet,page,required_ungraded_blocker,yes,no,,,modules,Student resources,https://canvas.oregonstate.edu/courses/2053526/modules/items/26896955,0.75
PHY-212-scanning-resources,2053526,PHY-212,Scanning Resources,page,required_ungraded_blocker,yes,no,,,modules,Student resources,https://canvas.oregonstate.edu/courses/2053526/modules/items/26896956,0.75
PHY-212-module-1-overview-of-circular-motion,2053526,PHY-212,Module 1 | Overview of Circular Motion,reference,useful_reference,unknown,no,,,modules,Module 1 | Circular Motion,https://canvas.oregonstate.edu/courses/2053526/modules/items/26896958,0.75
PHY-212-module-1-circular-motion-learning-materials,2053526,PHY-212,Module 1 | Circular Motion | Learning Materials,page,prerequisite,yes,no,,,modules,Module 1 | Circular Motion,https://canvas.oregonstate.edu/courses/2053526/modules/items/26896959,0.75
PHY-212-module-1-circular-motion-required-activities,2053526,PHY-212,Module 1 | Circular Motion | Required Activities,page,prerequisite,yes,no,,,modules,Module 1 | Circular Motion,https://canvas.oregonstate.edu/courses/2053526/modules/items/26896960,0.75
PHY-212-proctorio-practice-quiz-remotely-proctored,2053526,PHY-212,Proctorio practice quiz (Remotely Proctored),quiz,required_graded,yes,yes,Jun 29 at 11:59pm,Aug 14 at 11:59pm,assignments|grades|modules,Module 1 | Circular Motion,https://canvas.oregonstate.edu/courses/2053526/modules/items/26896961|https://canvas.oregonstate.edu/courses/2053526/assignments/10557001|https://canvas.oregonstate.edu/courses/2053526/assignments/10557001/submissions/6660414,0.88
PHY-212-lab-1-instructions,2053526,PHY-212,Lab 1 Instructions,lab,required_ungraded_blocker,yes,no,,,modules,Module 1 | Circular Motion,https://canvas.oregonstate.edu/courses/2053526/modules/items/26896962,0.75
PHY-212-lab-partner-values-survey,2053526,PHY-212,Lab Partner Values Survey,quiz,required_graded,yes,yes,Jun 27 at 11:59pm,Jul 4 at 11:59pm,assignments|grades|modules,Module 1 | Circular Motion,https://canvas.oregonstate.edu/courses/2053526/modules/items/26896963|https://canvas.oregonstate.edu/courses/2053526/assignments/10557029|https://canvas.oregonstate.edu/courses/2053526/assignments/10557029/submissions/6660414,0.88
PHY-212-lab-supplies,2053526,PHY-212,Lab Supplies,lab,required_ungraded_blocker,yes,no,,,modules,Module 1 | Circular Motion,https://canvas.oregonstate.edu/courses/2053526/modules/items/26896964,0.75
PHY-212-lab-2-instructions,2053526,PHY-212,Lab 2 Instructions,lab,required_ungraded_blocker,yes,no,,,modules,Module 1 | Circular Motion,https://canvas.oregonstate.edu/courses/2053526/modules/items/26896965,0.75
PHY-212-lab-collaboration-contract,2053526,PHY-212,Lab Collaboration Contract,quiz,required_graded,yes,yes,Jul 4 at 11:59pm,Jun 28 at 12:00am,assignments|grades|modules,Module 1 | Circular Motion,https://canvas.oregonstate.edu/courses/2053526/modules/items/26942495|https://canvas.oregonstate.edu/courses/2053526/assignments/10556974|https://canvas.oregonstate.edu/courses/2053526/assignments/10556974/submissions/6660414,0.88
PHY-212-module-1-motion-conclusion,2053526,PHY-212,Module 1 | Motion | Conclusion,page,required_ungraded_blocker,yes,no,,,modules,Module 1 | Circular Motion,https://canvas.oregonstate.edu/courses/2053526/modules/items/26896968,0.75
PHY-212-course-introductions,2053526,PHY-212,Course Introductions,discussion,required_graded,yes,yes,Jun 25 at 11:52pm,Jul 4 at 11:59pm,assignments|grades,,https://canvas.oregonstate.edu/courses/2053526/assignments/10557032|https://canvas.oregonstate.edu/courses/2053526/assignments/10557032/submissions/6660414,0.88
