rank,course_id,course_code,task_id,task_type,title,due_sort_key,due_text,due_status,available_text,points_text,estimated_time,module_titles,module_item_ids,actionability,confidence,review_state,recursive_review_states,object_id,object_type,source_urls,next_action
104,2080857,MTH-252,task-00236-mth-252-lecture-video-dr-g-s-videos-1-1-integral-calculus-mth-252z-400-u2026,lecture_video,Dr. G's Videos --> 1.1: INTEGRAL CALCULUS (MTH_252Z_400_U2026),,,no_due_found,,,,"Module 1: Intro to Riemann Sums: Upper, Lower, Left, Right, and Midpoint Riemann Sums",mi-mth-252-26982547,prep_required,medium,candidate,,obj-mth-252-page-dr-gs-videos-3e-1-dot-1,page,https://canvas.oregonstate.edu/courses/2080857/pages/dr-gs-videos-%3E-1-dot-1?module_item_id=26982547|https://canvas.oregonstate.edu/courses/2080857/modules,Complete or review this prep item before the related graded work.
105,2080857,MTH-252,task-00237-mth-252-lecture-video-dr-g-s-videos-1-2-integral-calculus-mth-252z-400-u2026,lecture_video,Dr. G's Videos --> 1.2: INTEGRAL CALCULUS (MTH_252Z_400_U2026),,,no_due_found,,,,Module 2: Intro to Definite Integral and Properties,mi-mth-252-26982556,prep_required,medium,candidate,,obj-mth-252-page-dr-gs-videos-3e-1-dot-2,page,https://canvas.oregonstate.edu/courses/2080857/pages/dr-gs-videos-%3E-1-dot-2?module_item_id=26982556|https://canvas.oregonstate.edu/courses/2080857/modules,Complete or review this prep item before the related graded work.
106,2080857,MTH-252,task-00238-mth-252-lecture-video-dr-g-s-videos-2-5-integral-calculus-mth-252z-400-u2026,lecture_video,Dr. G's Videos --> 2.5: INTEGRAL CALCULUS (MTH_252Z_400_U2026),,,no_due_found,,,,Module 9: Applications of Integration - Real-World,mi-mth-252-26982634,prep_required,medium,candidate,,obj-mth-252-page-dr-gs-videos-3e-2-dot-5,page,https://canvas.oregonstate.edu/courses/2080857/pages/dr-gs-videos-%3E-2-dot-5?module_item_id=26982634|https://canvas.oregonstate.edu/courses/2080857/modules,Complete or review this prep item before the related graded work.
138,2080857,MTH-252,task-00215-mth-252-lecture-video-indefinite-integral-exponential-and-trig-ibp-twice-and-solve,lecture_video,"Indefinite integral: Exponential and trig, IBP twice and solve",,,no_due_found,,,,3.1 Integration by Parts,mi-mth-252-26982731,prep_required,medium,candidate,,obj-mth-252-module-item-26982731,module_item,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982731|https://canvas.oregonstate.edu/courses/2080857/modules,Complete or review this prep item before the related graded work.
139,2080857,MTH-252,task-00216-mth-252-lecture-video-indefinite-integral-exponential-ibp-twice,lecture_video,"Indefinite integral: Exponential, IBP twice",,,no_due_found,,,,3.1 Integration by Parts,mi-mth-252-26982730,prep_required,medium,candidate,needs_manual_decision,obj-mth-252-module-item-26982730,module_item,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982730|https://canvas.oregonstate.edu/courses/2080857/modules,Complete or review this prep item before the related graded work.
141,2080857,MTH-252,task-00217-mth-252-lecture-video-indefinite-integral-trig-times-linear,lecture_video,Indefinite integral: Trig times linear,,,no_due_found,,,,3.1 Integration by Parts,mi-mth-252-26982729,prep_required,medium,candidate,,obj-mth-252-module-item-26982729,module_item,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982729|https://canvas.oregonstate.edu/courses/2080857/modules,Complete or review this prep item before the related graded work.
165,2080857,MTH-252,task-00218-mth-252-lecture-video-intro-trigonometric-integrals-with-an-odd-power,lecture_video,Intro. Trigonometric integrals with an ODD power,,,no_due_found,,,,3.2 Trigonometric Integrals,mi-mth-252-26982732,prep_required,medium,candidate,,obj-mth-252-module-item-26982732,module_item,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982732|https://canvas.oregonstate.edu/courses/2080857/modules,Complete or review this prep item before the related graded work.
169,2080857,MTH-252,task-00208-mth-252-prep-reading-lecture-2-3-2-4-pdf-integral-calculus-mth-252z-400-u2026,prep_reading,Lecture-2.3-2.4.pdf: INTEGRAL CALCULUS (MTH_252Z_400_U2026),,,no_due_found,,,,Module 8: Application of Integration - Graphical and Real-World,mi-mth-252-26982622,prep_required,medium,candidate,,obj-mth-252-file-119223466,file,https://canvas.oregonstate.edu/courses/2080857/files/119223466?module_item_id=26982622|https://canvas.oregonstate.edu/courses/2080857/files/119223466?module_item_id=26982622#|https://canvas.oregonstate.edu/courses/2080857/modules,Complete or review this prep item before the related graded work.
170,2080857,MTH-252,task-00209-mth-252-prep-reading-lecture-3-1-3-2-pdf-integral-calculus-mth-252z-400-u2026,prep_reading,Lecture-3.1-3.2.pdf: INTEGRAL CALCULUS (MTH_252Z_400_U2026),,,no_due_found,,,,Module 5: Techniques to Solve Integrals,mi-mth-252-26982590,prep_required,medium,candidate,,obj-mth-252-file-119223595,file,https://canvas.oregonstate.edu/courses/2080857/files/119223595?module_item_id=26982590|https://canvas.oregonstate.edu/courses/2080857/modules,Complete or review this prep item before the related graded work.
172,2080857,MTH-252,task-00062-mth-252-lecture-video-me2-w26-template-1-pdf,lecture_video,ME2-W26-Template-1.pdf,,,no_due_found,,,,,,prep_required,medium,candidate,needs_download|needs_manual_decision,obj-mth-252-download-119223588,download,https://canvas.oregonstate.edu/courses/2080857/files/119223588/download?download_frd=1|https://canvas.oregonstate.edu/courses/2080857/assignments/10586048?module_item_id=26982585|https://canvas.oregonstate.edu/courses/2080857/files/119223588?wrap=1|https://canvas.oregonstate.edu/courses/2080857/assignments/10586048?module_item_id=26982585#,Complete or review this prep item before the related graded work.
