rank,course_id,course_code,task_id,task_type,title,due_sort_key,due_text,due_status,available_text,points_text,estimated_time,module_titles,module_item_ids,actionability,confidence,review_state,recursive_review_states,object_id,object_type,source_urls,next_action
76,2080857,MTH-252,task-00140-mth-252-critical-setup-camscanner-making-one-pdf-with-multiple-pages,critical_setup,CamScanner: Making ONE pdf with multiple pages,,,no_due_found,,,,Tutoring Support and Course Resources,mi-mth-252-26982538,action_required,high,candidate,,obj-mth-252-module-item-26982538,module_item,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982538|https://canvas.oregonstate.edu/courses/2080857/modules,Plan/complete this task according to its module and due information.
77,2080857,MTH-252,task-00068-mth-252-external-tool-convert-riemann-sum-to-integrals-links-to-an-external-site,external_tool,Convert Riemann sum to integrals Links to an external site.,,,no_due_found,,,,1.2 Definite Integrals,mi-mth-252-26982672,review_needed,low,needs_review,needs_manual_decision|needs_rule,obj-mth-252-external-url-26982672,external_url,https://youtu.be/FZKRsD9FqU4|https://canvas.oregonstate.edu/courses/2080857/modules,Review blocked/uncertain evidence before relying on this task.
78,2080857,MTH-252,task-00069-mth-252-external-tool-definite-integral-constant-function-links-to-an-external-site,external_tool,Definite integral: Constant*function Links to an external site.,,,no_due_found,,,,1.2 Definite Integrals,mi-mth-252-26982677,review_needed,low,needs_review,needs_manual_decision|needs_rule,obj-mth-252-external-url-26982677,external_url,https://youtu.be/csjUDj6HMpc|https://canvas.oregonstate.edu/courses/2080857/modules,Review blocked/uncertain evidence before relying on this task.
79,2080857,MTH-252,task-00070-mth-252-external-tool-definite-integral-function-plus-constant-links-to-an-external-site,external_tool,Definite integral: Function plus constant Links to an external site.,,,no_due_found,,,,1.2 Definite Integrals,mi-mth-252-26982676,review_needed,low,needs_review,needs_manual_decision|needs_rule,obj-mth-252-external-url-26982676,external_url,https://youtu.be/kmnvYAS409s|https://canvas.oregonstate.edu/courses/2080857/modules,Review blocked/uncertain evidence before relying on this task.
80,2080857,MTH-252,task-00071-mth-252-external-tool-definite-integral-intro-and-application-links-to-an-external-site,external_tool,Definite integral: Intro and application Links to an external site.,,,no_due_found,,,,1.2 Definite Integrals,mi-mth-252-26982675,review_needed,low,needs_review,needs_manual_decision|needs_rule,obj-mth-252-external-url-26982675,external_url,https://youtu.be/HnZTll3OmIc|https://canvas.oregonstate.edu/courses/2080857/modules,Review blocked/uncertain evidence before relying on this task.
81,2080857,MTH-252,task-00072-mth-252-external-tool-definite-integral-properties-continued-links-to-an-external-site,external_tool,Definite integral: Properties continued Links to an external site.,,,no_due_found,,,,1.2 Definite Integrals,mi-mth-252-26982673,review_needed,low,needs_review,needs_manual_decision|needs_rule,obj-mth-252-external-url-26982673,external_url,https://youtu.be/UgUKjUAkwN8|https://canvas.oregonstate.edu/courses/2080857/modules,Review blocked/uncertain evidence before relying on this task.
82,2080857,MTH-252,task-00073-mth-252-external-tool-definite-integral-setting-up-the-integral-links-to-an-external-site,external_tool,Definite integral: Setting up the integral Links to an external site.,,,no_due_found,,,,1.2 Definite Integrals,mi-mth-252-26982671,review_needed,low,needs_review,needs_manual_decision|needs_rule,obj-mth-252-external-url-26982671,external_url,https://youtu.be/6pQUsnRKxSg|https://canvas.oregonstate.edu/courses/2080857/modules,Review blocked/uncertain evidence before relying on this task.
83,2080857,MTH-252,task-00074-mth-252-external-tool-definite-integral-trig-links-to-an-external-site,external_tool,Definite integral: Trig Links to an external site.,,,no_due_found,,,,1.2 Definite Integrals,mi-mth-252-26982678,review_needed,low,needs_review,needs_manual_decision|needs_rule,obj-mth-252-external-url-26982678,external_url,https://youtu.be/itmNYsvNiHs|https://canvas.oregonstate.edu/courses/2080857/modules,Review blocked/uncertain evidence before relying on this task.
84,2080857,MTH-252,task-00075-mth-252-external-tool-definite-integral-using-geometry-links-to-an-external-site,external_tool,Definite integral: Using geometry Links to an external site.,,,no_due_found,,,,1.2 Definite Integrals,mi-mth-252-26982670,review_needed,low,needs_review,needs_manual_decision|needs_rule,obj-mth-252-external-url-26982670,external_url,https://youtu.be/jTjrLTEQEws|https://canvas.oregonstate.edu/courses/2080857/modules,Review blocked/uncertain evidence before relying on this task.
85,2080857,MTH-252,task-00076-mth-252-external-tool-definite-integrals-properties-links-to-an-external-site,external_tool,Definite integrals: Properties Links to an external site.,,,no_due_found,,,,1.2 Definite Integrals,mi-mth-252-26982674,review_needed,low,needs_review,needs_manual_decision|needs_rule,obj-mth-252-external-url-26982674,external_url,https://youtu.be/ycOZVVVXHvM|https://canvas.oregonstate.edu/courses/2080857/modules,Review blocked/uncertain evidence before relying on this task.
86,2080857,MTH-252,task-00141-mth-252-lecture-video-disc-method-around-y-1,lecture_video,Disc method around y=1,,,no_due_found,,,,2.2 Volume by Slicing,mi-mth-252-26982764,prep_required,medium,candidate,,obj-mth-252-module-item-26982764,module_item,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982764|https://canvas.oregonstate.edu/courses/2080857/modules,Complete or review this prep item before the related graded work.
