rank,course_id,course_code,task_id,task_type,title,due_sort_key,due_text,due_status,available_text,points_text,estimated_time,module_titles,module_item_ids,actionability,confidence,review_state,recursive_review_states,object_id,object_type,source_urls,next_action
198,2080857,MTH-252,task-00259-mth-252-blocked-or-broken-rq-1-5-integral-calculus-mth-252z-400-u2026,blocked_or_broken,RQ-1.5: INTEGRAL CALCULUS (MTH_252Z_400_U2026),,,no_due_found,,2.5,,Module 4: Introduction to Applications,mi-mth-252-26982578,action_required,high,candidate,needs_retry,obj-mth-252-quiz-3167662,quiz,https://canvas.oregonstate.edu/courses/2080857/quizzes/3167662?module_item_id=26982578|https://canvas.oregonstate.edu/courses/2080857/quizzes/3167662/take?user_id=6660414|https://canvas.oregonstate.edu/courses/2080857/quizzes/3167662/history?version=1|https://canvas.oregonstate.edu/courses/2080857/quizzes/3167662?module_item_id=26982578#|https://canvas.oregonstate.edu/courses/2080857/quizzes/3167662/questions/59201281|https://canvas.oregonstate.edu/courses/2080857/quizzes/3167662/questions/59201282|https://canvas.oregonstate.edu/courses/2080857/quizzes/3167662/questions/59201283|https://canvas.oregonstate.edu/courses/2080857/quizzes/3167662/questions/59201284|https://canvas.oregonstate.edu/courses/2080857/modules,Plan/complete this task according to its module and due information.
199,2080857,MTH-252,task-00260-mth-252-blocked-or-broken-rq-1-6-integral-calculus-mth-252z-400-u2026,blocked_or_broken,RQ-1.6 : INTEGRAL CALCULUS (MTH_252Z_400_U2026),,,no_due_found,,2.5,,Module 4: Introduction to Applications,mi-mth-252-26982579,action_required,high,candidate,needs_retry,obj-mth-252-quiz-3167654,quiz,https://canvas.oregonstate.edu/courses/2080857/quizzes/3167654?module_item_id=26982579|https://canvas.oregonstate.edu/courses/2080857/quizzes/3167654/take?user_id=6660414|https://canvas.oregonstate.edu/courses/2080857/quizzes/3167654/history?version=1|https://canvas.oregonstate.edu/courses/2080857/quizzes/3167654?module_item_id=26982579#|https://canvas.oregonstate.edu/courses/2080857/quizzes/3167654/questions/59201287|https://canvas.oregonstate.edu/courses/2080857/quizzes/3167654/questions/59201285|https://canvas.oregonstate.edu/courses/2080857/quizzes/3167654/questions/59201288|https://canvas.oregonstate.edu/courses/2080857/quizzes/3167654/questions/59201286|https://canvas.oregonstate.edu/courses/2080857/modules,Plan/complete this task according to its module and due information.
213,2080857,MTH-252,task-00251-mth-252-required-ungraded-task-start-here-overview-integral-calculus-mth-252z-400-u2026,required_ungraded_task,Start Here — Overview: INTEGRAL CALCULUS (MTH_252Z_400_U2026),,,no_due_found,,,,Start Here,mi-mth-252-26982519,action_required,medium,candidate,,obj-mth-252-page-start-here-overview,page,https://canvas.oregonstate.edu/courses/2080857/pages/start-here-overview?module_item_id=26982519|https://canvas.oregonstate.edu/courses/2080857/modules,Plan/complete this task according to its module and due information.
214,2080857,MTH-252,task-00252-mth-252-critical-setup-start-here-sources-cited-integral-calculus-mth-252z-400-u2026,critical_setup,Start Here — Sources Cited: INTEGRAL CALCULUS (MTH_252Z_400_U2026),,,no_due_found,,,,Start Here,mi-mth-252-26982533,action_required,high,candidate,,obj-mth-252-page-start-here-sources-cited,page,https://canvas.oregonstate.edu/courses/2080857/pages/start-here-sources-cited?module_item_id=26982533|https://canvas.oregonstate.edu/courses/2080857/modules,Plan/complete this task according to its module and due information.
225,2080857,MTH-252,task-00253-mth-252-critical-setup-syllabus-and-calendar-as-of-7-05-both-sections-400-and-401-integral-calculus-mth,critical_setup,Syllabus and Calendar (as of 7/05) --> Both Sections 400 and 401: INTEGRAL CALCULUS (MTH_252Z_400_U2026),,,no_due_found,,,,Start Here,mi-mth-252-26982522,action_required,high,candidate,,obj-mth-252-page-syllabus-and-calendar-as-of-7-slash-05-3e-both-sections-400-and-401,page,https://canvas.oregonstate.edu/courses/2080857/pages/syllabus-and-calendar-as-of-7-slash-05-%3E-both-sections-400-and-401?module_item_id=26982522|https://canvas.oregonstate.edu/courses/2080857/pages/syllabus-and-calendar-as-of-7-slash-05-%3E-both-sections-400-and-401?module_item_id=26982522#|https://canvas.oregonstate.edu/courses/2080857/modules,Plan/complete this task according to its module and due information.
226,2080857,MTH-252,task-00041-mth-252-critical-setup-syllabus-for-integral-calculus-mth-252z-400-u2026,critical_setup,Syllabus for INTEGRAL CALCULUS (MTH_252Z_400_U2026),,,no_due_found,,,,,,action_required,high,candidate,needs_manual_decision,obj-mth-252-assignment-syllabus,assignment,https://canvas.oregonstate.edu/courses/2080857/assignments/syllabus,Plan/complete this task according to its module and due information.
240,2080857,MTH-252,task-00051-mth-252-critical-setup-topic-update-mini-exam-3-reminders-no-gradescope-app-practice-submission-in-grad,critical_setup,"Topic: Update: Mini-Exam 3 Reminders --> No gradescope App, practice submission in gradescope, etc.",,,no_due_found,,,,,,action_required,high,candidate,needs_manual_decision,obj-mth-252-discussion-11617072,discussion,https://canvas.oregonstate.edu/courses/2080857/discussion_topics/11617072,Plan/complete this task according to its module and due information.
260,2080857,MTH-252,task-00064-mth-252-critical-setup-whw3-key-pdf,critical_setup,WHW3-Key.pdf,,,no_due_found,,,,,,action_required,high,candidate,needs_download|needs_manual_decision,obj-mth-252-download-119223584,download,https://canvas.oregonstate.edu/courses/2080857/files/119223584/download?download_frd=1|https://canvas.oregonstate.edu/courses/2080857/files/119223584?module_item_id=26982504|https://canvas.oregonstate.edu/courses/2080857/files/119223584?module_item_id=26982504#,Plan/complete this task according to its module and due information.
261,2080857,MTH-252,task-00065-mth-252-critical-setup-whw4-key-pdf,critical_setup,WHW4-Key.pdf,,,no_due_found,,,,,,action_required,high,candidate,needs_download|needs_manual_decision,obj-mth-252-download-119223460,download,https://canvas.oregonstate.edu/courses/2080857/files/119223460/download?download_frd=1|https://canvas.oregonstate.edu/courses/2080857/files/119223460?module_item_id=26982505|https://canvas.oregonstate.edu/courses/2080857/files/119223460?module_item_id=26982505#,Plan/complete this task according to its module and due information.
285,2053263,MTH-253,task-00290-mth-253-critical-setup-download,critical_setup,Download,,,no_due_found,,,,,,action_required,high,candidate,needs_download|needs_manual_decision,obj-mth-253-download-118558907,download,https://canvas.oregonstate.edu/courses/2053263/files/118558907/download?download_frd=1|https://canvas.oregonstate.edu/courses/2053263/assignments/10553181?module_item_id=26885565|https://canvas.oregonstate.edu/courses/2053263/assignments/10553181|https://canvas.oregonstate.edu/courses/2053263/files/118558907?wrap=1|https://canvas.oregonstate.edu/courses/2053263/assignments/10553181?module_item_id=26885565#,Plan/complete this task according to its module and due information.
288,2053263,MTH-253,task-00304-mth-253-critical-setup-get-your-mth-253z-course-materials-access-code-ebook-sequences-and-series-mth-25,critical_setup,Get your MTH 253Z Course Materials! (Access Code + Ebook) : SEQUENCES AND SERIES (MTH_253Z_400_U2026),,,no_due_found,,,,Start Here,mi-mth-253-26885521,action_required,high,candidate,,obj-mth-253-page-get-your-mth-253z-course-materials-access-code-ebook-2,page,https://canvas.oregonstate.edu/courses/2053263/pages/get-your-mth-253z-course-materials-access-code-+-ebook-2?module_item_id=26885521|https://canvas.oregonstate.edu/courses/2053263/modules,Plan/complete this task according to its module and due information.
294,2053263,MTH-253,task-00296-mth-253-critical-setup-mth-253-final-exam-practice-problems-pdf,critical_setup,MTH 253 - Final Exam Practice Problems.pdf,,,no_due_found,,,,,,action_required,high,candidate,needs_manual_decision,obj-mth-253-download-118558956,download,https://canvas.oregonstate.edu/courses/2053263/files/118558956/download?download_frd=1|https://canvas.oregonstate.edu/courses/2053263/files/118558956?module_item_id=26885598|https://canvas.oregonstate.edu/courses/2053263/files/118558956?module_item_id=26885598#,Plan/complete this task according to its module and due information.
