issue_id,severity,issue_type,course_id,course_code,page_id,title,requested_url,resolved_url,source_file,detail,access_resolution_status,access_resolution_reason,access_final_action
issue-0054,medium,external_tool,2080857,MTH-252,00067-mth-252-module-item-mini-exam-1-tues-thur-no-late-submissions,Mini-Exam 1 - Tues - Thur (No late submissions),https://canvas.oregonstate.edu/courses/2080857/modules/items/26982562,https://canvas.oregonstate.edu/courses/2080857/assignments/10586045?module_item_id=26982562,metadata/00067-mth-252-module-item-mini-exam-1-tues-thur-no-late-submissions.json,Page may require external-tool handling beyond rendered Canvas text.,,,
issue-0055,low,redirected,2080857,MTH-252,00067-mth-252-module-item-mini-exam-1-tues-thur-no-late-submissions,Mini-Exam 1 - Tues - Thur (No late submissions),https://canvas.oregonstate.edu/courses/2080857/modules/items/26982562,https://canvas.oregonstate.edu/courses/2080857/assignments/10586045?module_item_id=26982562,metadata/00067-mth-252-module-item-mini-exam-1-tues-thur-no-late-submissions.json,Requested URL resolved to a different URL.,,,
issue-0056,low,redirected,2080857,MTH-252,00068-mth-252-module-item-module-3-overview-integral-calculus-mth-252z-400-u2026,Module 3 — Overview: INTEGRAL CALCULUS (MTH_252Z_400_U2026),https://canvas.oregonstate.edu/courses/2080857/modules/items/26982563,https://canvas.oregonstate.edu/courses/2080857/pages/module-3-overview?module_item_id=26982563,metadata/00068-mth-252-module-item-module-3-overview-integral-calculus-mth-252z-400-u2026.json,Requested URL resolved to a different URL.,,,
issue-0057,low,redirected,2080857,MTH-252,00069-mth-252-module-item-module-3-learning-materials-and-practice-activities-3-5-hours-integral-calculus-mth-252z-400-u20,Module 3 — Learning Materials and Practice Activities 🕓 3 - 5 hours: INTEGRAL CALCULUS (MTH_252Z_400_U2026),https://canvas.oregonstate.edu/courses/2080857/modules/items/26982564,https://canvas.oregonstate.edu/courses/2080857/pages/module-3-learning-materials-and-practice-activities-3-5-hours-2?module_item_id=26982564,metadata/00069-mth-252-module-item-module-3-learning-materials-and-practice-activities-3-5-hours-integral-calculus-mth-252z-400-u20.json,Requested URL resolved to a different URL.,,,
issue-0058,low,redirected,2080857,MTH-252,00070-mth-252-module-item-252-lecture-1-3-to-me2-pdf-integral-calculus-mth-252z-400-u2026,252-Lecture-1.3-to-ME2.pdf: INTEGRAL CALCULUS (MTH_252Z_400_U2026),https://canvas.oregonstate.edu/courses/2080857/modules/items/26982565,https://canvas.oregonstate.edu/courses/2080857/files/119223594?module_item_id=26982565,metadata/00070-mth-252-module-item-252-lecture-1-3-to-me2-pdf-integral-calculus-mth-252z-400-u2026.json,Requested URL resolved to a different URL.,,,
issue-0059,low,redirected,2080857,MTH-252,00071-mth-252-module-item-dr-g-s-videos-1-3-4-10-integral-calculus-mth-252z-400-u2026,"Dr G's Videos --> 1.3, 4.10: INTEGRAL CALCULUS (MTH_252Z_400_U2026)",https://canvas.oregonstate.edu/courses/2080857/modules/items/26982566,https://canvas.oregonstate.edu/courses/2080857/pages/dr-gs-videos-%3E-1-dot-3-4-dot-10?module_item_id=26982566,metadata/00071-mth-252-module-item-dr-g-s-videos-1-3-4-10-integral-calculus-mth-252z-400-u2026.json,Requested URL resolved to a different URL.,,,
issue-0060,low,redirected,2080857,MTH-252,00072-mth-252-module-item-pre-class-reading-quiz-1-3-rq-1-3-integral-calculus-mth-252z-400-u2026,Pre-Class Reading Quiz - 1.3 (RQ-1.3) : INTEGRAL CALCULUS (MTH_252Z_400_U2026),https://canvas.oregonstate.edu/courses/2080857/modules/items/26982567,https://canvas.oregonstate.edu/courses/2080857/quizzes/3167655?module_item_id=26982567,metadata/00072-mth-252-module-item-pre-class-reading-quiz-1-3-rq-1-3-integral-calculus-mth-252z-400-u2026.json,Requested URL resolved to a different URL.,,,
issue-0061,low,redirected,2080857,MTH-252,00073-mth-252-module-item-module-3-written-homework-whw-3-3-hours,Module 3 — Written Homework (WHW 3) 🕓 3 hours,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982568,https://canvas.oregonstate.edu/courses/2080857/assignments/10586056?module_item_id=26982568,metadata/00073-mth-252-module-item-module-3-written-homework-whw-3-3-hours.json,Requested URL resolved to a different URL.,,,
issue-0062,medium,external_tool,2080857,MTH-252,00074-mth-252-module-item-achieve-1-3-the-fundamental-theorem-of-calculus,Achieve - 1.3 The Fundamental Theorem of Calculus,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982569,https://canvas.oregonstate.edu/courses/2080857/assignments/10586027?module_item_id=26982569,metadata/00074-mth-252-module-item-achieve-1-3-the-fundamental-theorem-of-calculus.json,Page may require external-tool handling beyond rendered Canvas text.,,,
issue-0063,low,redirected,2080857,MTH-252,00074-mth-252-module-item-achieve-1-3-the-fundamental-theorem-of-calculus,Achieve - 1.3 The Fundamental Theorem of Calculus,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982569,https://canvas.oregonstate.edu/courses/2080857/assignments/10586027?module_item_id=26982569,metadata/00074-mth-252-module-item-achieve-1-3-the-fundamental-theorem-of-calculus.json,Requested URL resolved to a different URL.,,,
issue-0064,medium,external_tool,2080857,MTH-252,00075-mth-252-module-item-achieve-4-10-antiderivatives,Achieve - 4.10 Antiderivatives,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982570,https://canvas.oregonstate.edu/courses/2080857/assignments/10586042?module_item_id=26982570,metadata/00075-mth-252-module-item-achieve-4-10-antiderivatives.json,Page may require external-tool handling beyond rendered Canvas text.,,,
issue-0065,low,redirected,2080857,MTH-252,00075-mth-252-module-item-achieve-4-10-antiderivatives,Achieve - 4.10 Antiderivatives,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982570,https://canvas.oregonstate.edu/courses/2080857/assignments/10586042?module_item_id=26982570,metadata/00075-mth-252-module-item-achieve-4-10-antiderivatives.json,Requested URL resolved to a different URL.,,,
issue-0066,low,redirected,2080857,MTH-252,00076-mth-252-module-item-topic-module-3-discussion-reflection-mini-exam-1-0-5-hour,Topic: Module 3 — Discussion Reflection: Mini-Exam 1 🕓 0.5 hour,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982571,https://canvas.oregonstate.edu/courses/2080857/discussion_topics/11593473?module_item_id=26982571,metadata/00076-mth-252-module-item-topic-module-3-discussion-reflection-mini-exam-1-0-5-hour.json,Requested URL resolved to a different URL.,,,
issue-0067,low,redirected,2080857,MTH-252,00077-mth-252-module-item-module-4-overview-integral-calculus-mth-252z-400-u2026,Module 4 — Overview: INTEGRAL CALCULUS (MTH_252Z_400_U2026),https://canvas.oregonstate.edu/courses/2080857/modules/items/26982572,https://canvas.oregonstate.edu/courses/2080857/pages/module-4-overview?module_item_id=26982572,metadata/00077-mth-252-module-item-module-4-overview-integral-calculus-mth-252z-400-u2026.json,Requested URL resolved to a different URL.,,,
issue-0068,low,redirected,2080857,MTH-252,00078-mth-252-module-item-module-4-learning-materials-and-practice-activities-3-5-hours-integral-calculus-mth-252z-400-u20,Module 4 — Learning Materials and Practice Activities 🕓 3 - 5 hours: INTEGRAL CALCULUS (MTH_252Z_400_U2026),https://canvas.oregonstate.edu/courses/2080857/modules/items/26982573,https://canvas.oregonstate.edu/courses/2080857/pages/module-4-learning-materials-and-practice-activities-3-5-hours-2?module_item_id=26982573,metadata/00078-mth-252-module-item-module-4-learning-materials-and-practice-activities-3-5-hours-integral-calculus-mth-252z-400-u20.json,Requested URL resolved to a different URL.,,,
