review_id,priority,review_reason,course_id,course_code,task_id,object_id,page_id,title,source_url,suggested_action
review-00026,high,blocked_or_broken,2053526,PHY-212,task-00356-phy-212-blocked-or-broken-unauthorized,obj-phy-212-assignment-10557027,00628-phy-212-linked-detail-unauthorized,Unauthorized,https://canvas.oregonstate.edu/courses/2053526/assignments/10557027,Retry or manually review blocked/broken capture.
review-00027,high,blocked_or_broken,2053526,PHY-212,task-00357-phy-212-blocked-or-broken-unauthorized,obj-phy-212-assignment-10556937,00629-phy-212-linked-detail-unauthorized,Unauthorized,https://canvas.oregonstate.edu/courses/2053526/assignments/10556937,Retry or manually review blocked/broken capture.
review-00028,high,blocked_or_broken,2053526,PHY-212,task-00358-phy-212-blocked-or-broken-unauthorized,obj-phy-212-assignment-10556943,00630-phy-212-linked-detail-unauthorized,Unauthorized,https://canvas.oregonstate.edu/courses/2053526/assignments/10556943,Retry or manually review blocked/broken capture.
review-00029,high,blocked_or_broken,2053526,PHY-212,task-00359-phy-212-blocked-or-broken-unauthorized,obj-phy-212-assignment-10556996,00631-phy-212-linked-detail-unauthorized,Unauthorized,https://canvas.oregonstate.edu/courses/2053526/assignments/10556996,Retry or manually review blocked/broken capture.
review-00030,high,blocked_or_broken,2053526,PHY-212,task-00360-phy-212-blocked-or-broken-unauthorized,obj-phy-212-assignment-10556959,00632-phy-212-linked-detail-unauthorized,Unauthorized,https://canvas.oregonstate.edu/courses/2053526/assignments/10556959,Retry or manually review blocked/broken capture.
review-00031,high,blocked_or_broken,2053526,PHY-212,task-00361-phy-212-blocked-or-broken-unauthorized,obj-phy-212-assignment-10557105,00633-phy-212-linked-detail-unauthorized,Unauthorized,https://canvas.oregonstate.edu/courses/2053526/assignments/10557105,Retry or manually review blocked/broken capture.
review-00032,high,blocked_or_broken,2053526,PHY-212,task-00362-phy-212-blocked-or-broken-unauthorized,obj-phy-212-assignment-10557108,00635-phy-212-linked-detail-unauthorized,Unauthorized,https://canvas.oregonstate.edu/courses/2053526/assignments/10557108,Retry or manually review blocked/broken capture.
review-00033,high,blocked_or_broken,2053526,PHY-212,task-00363-phy-212-blocked-or-broken-unauthorized,obj-phy-212-assignment-10557111,00637-phy-212-linked-detail-unauthorized,Unauthorized,https://canvas.oregonstate.edu/courses/2053526/assignments/10557111,Retry or manually review blocked/broken capture.
review-00034,high,blocked_or_broken,2053526,PHY-212,task-00364-phy-212-blocked-or-broken-unauthorized,obj-phy-212-assignment-10557106,00638-phy-212-linked-detail-unauthorized,Unauthorized,https://canvas.oregonstate.edu/courses/2053526/assignments/10557106,Retry or manually review blocked/broken capture.
review-00035,high,blocked_or_broken,2053526,PHY-212,task-00365-phy-212-blocked-or-broken-unauthorized,obj-phy-212-assignment-10557107,00639-phy-212-linked-detail-unauthorized,Unauthorized,https://canvas.oregonstate.edu/courses/2053526/assignments/10557107,Retry or manually review blocked/broken capture.
