object_id,page_id,course_id,course_code,object_type,canvas_object_id,title,requested_url,resolved_url,redirected,source_kind,source_surface,markdown_path,metadata_path
obj-mth-252-assignment-10586042,00074-mth-252-module-item-achieve-4-10-antiderivatives,2080857,MTH-252,assignment,10586042,Achieve - 4.10 Antiderivatives,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982570,https://canvas.oregonstate.edu/courses/2080857/assignments/10586042?module_item_id=26982570,yes,module_item,module_item,markdown/00074-mth-252-module-item-achieve-4-10-antiderivatives.md,metadata/00074-mth-252-module-item-achieve-4-10-antiderivatives.json
obj-mth-252-assignment-10586042,00373-mth-252-linked-detail-achieve-4-10-antiderivatives,2080857,MTH-252,assignment,10586042,Achieve - 4.10 Antiderivatives,https://canvas.oregonstate.edu/courses/2080857/assignments/10586042?module_item_id=26982570#,https://canvas.oregonstate.edu/courses/2080857/assignments/10586042?module_item_id=26982570#,,linked_detail,linked_detail,markdown/00373-mth-252-linked-detail-achieve-4-10-antiderivatives.md,metadata/00373-mth-252-linked-detail-achieve-4-10-antiderivatives.json
obj-mth-252-assignment-10586043,00153-mth-252-module-item-final-mini-exam-5-monday-to-wednesday,2080857,MTH-252,assignment,10586043,Final Mini-Exam 5 --> Monday to Wednesday,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982652,https://canvas.oregonstate.edu/courses/2080857/assignments/10586043?module_item_id=26982652,yes,module_item,module_item,markdown/00153-mth-252-module-item-final-mini-exam-5-monday-to-wednesday.md,metadata/00153-mth-252-module-item-final-mini-exam-5-monday-to-wednesday.json
obj-mth-252-assignment-10586043,00443-mth-252-linked-detail-final-mini-exam-5-monday-to-wednesday,2080857,MTH-252,assignment,10586043,Final Mini-Exam 5 --> Monday to Wednesday,https://canvas.oregonstate.edu/courses/2080857/assignments/10586043?module_item_id=26982652#,https://canvas.oregonstate.edu/courses/2080857/assignments/10586043?module_item_id=26982652#,,linked_detail,linked_detail,markdown/00443-mth-252-linked-detail-final-mini-exam-5-monday-to-wednesday.md,metadata/00443-mth-252-linked-detail-final-mini-exam-5-monday-to-wednesday.json
obj-mth-252-assignment-10586044,00054-mth-252-module-item-intro-reflect-1,2080857,MTH-252,assignment,10586044,Intro Reflect 1,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982550,https://canvas.oregonstate.edu/courses/2080857/assignments/10586044?module_item_id=26982550,yes,module_item,module_item,markdown/00054-mth-252-module-item-intro-reflect-1.md,metadata/00054-mth-252-module-item-intro-reflect-1.json
obj-mth-252-assignment-10586044,00359-mth-252-linked-detail-intro-reflect-1,2080857,MTH-252,assignment,10586044,Intro Reflect 1,https://canvas.oregonstate.edu/courses/2080857/assignments/10586044?module_item_id=26982550#,https://canvas.oregonstate.edu/courses/2080857/assignments/10586044?module_item_id=26982550#,,linked_detail,linked_detail,markdown/00359-mth-252-linked-detail-intro-reflect-1.md,metadata/00359-mth-252-linked-detail-intro-reflect-1.json
obj-mth-252-assignment-10586045,00066-mth-252-module-item-mini-exam-1-tues-thur-no-late-submissions,2080857,MTH-252,assignment,10586045,Mini-Exam 1 - Tues - Thur (No late submissions),https://canvas.oregonstate.edu/courses/2080857/modules/items/26982562,https://canvas.oregonstate.edu/courses/2080857/assignments/10586045?module_item_id=26982562,yes,module_item,module_item,markdown/00066-mth-252-module-item-mini-exam-1-tues-thur-no-late-submissions.md,metadata/00066-mth-252-module-item-mini-exam-1-tues-thur-no-late-submissions.json
obj-mth-252-assignment-10586045,00367-mth-252-linked-detail-mini-exam-1-tues-thur-no-late-submissions,2080857,MTH-252,assignment,10586045,Mini-Exam 1 - Tues - Thur (No late submissions),https://canvas.oregonstate.edu/courses/2080857/assignments/10586045?module_item_id=26982562#,https://canvas.oregonstate.edu/courses/2080857/assignments/10586045?module_item_id=26982562#,,linked_detail,linked_detail,markdown/00367-mth-252-linked-detail-mini-exam-1-tues-thur-no-late-submissions.md,metadata/00367-mth-252-linked-detail-mini-exam-1-tues-thur-no-late-submissions.json
obj-mth-252-assignment-10586046,00154-mth-252-module-item-mini-exam-1-retake,2080857,MTH-252,assignment,10586046,Mini-Exam 1 - Retake,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982653,https://canvas.oregonstate.edu/courses/2080857/assignments/10586046?module_item_id=26982653,yes,module_item,module_item,markdown/00154-mth-252-module-item-mini-exam-1-retake.md,metadata/00154-mth-252-module-item-mini-exam-1-retake.json
obj-mth-252-assignment-10586046,00444-mth-252-linked-detail-mini-exam-1-retake,2080857,MTH-252,assignment,10586046,Mini-Exam 1 - Retake,https://canvas.oregonstate.edu/courses/2080857/assignments/10586046?module_item_id=26982653#,https://canvas.oregonstate.edu/courses/2080857/assignments/10586046?module_item_id=26982653#,,linked_detail,linked_detail,markdown/00444-mth-252-linked-detail-mini-exam-1-retake.md,metadata/00444-mth-252-linked-detail-mini-exam-1-retake.json
