course,topic-id,topic-number,topic-name
MF2,1363,8.2.9,Combining Stretches of Geometric Figures
MF2,483,8.2.10,Combining Geometric Transformations
MF2,2218,8.2.11,Rigid Motions and Congruence
MF2,490,8.2.12,Similarity and Similar Polygons
MF2,491,8.2.13,Similarity Transformations
MF2,2226,8.2.14,Reflective Symmetry
MF2,2227,8.2.15,Rotational Symmetry
MF2,2467,8.3.1,Identifying Three-Dimensional Shapes
MF2,2484,8.3.2,"Faces, Vertices, and Edges of Polyhedrons"
MF2,2468,8.3.3,Nets of Polyhedrons
MF2,2469,8.3.4,Finding Surface Areas Using Nets
MF2,1467,8.3.5,Volumes of Cubes
MF2,1753,8.3.6,Volumes of Rectangular Solids
MF2,681,8.3.7,Surface Areas of Cubes
MF2,1146,8.3.8,Volumes of Spheres
MF2,1765,8.3.9,Surface Areas of Spheres
MF2,1144,8.3.10,Volumes of Cylinders
MF2,1762,8.3.11,Surface Areas of Cylinders
MF2,2849,8.3.12,Euler's Formula for Polyhedra
MF2,1826,8.3.13,The Five Platonic Solids
MF2,1597,9.1.1,Angles and Sides in Right Triangles
MF2,609,9.1.2,The Trigonometric Ratios
MF2,633,9.1.3,Calculating Trigonometric Ratios Using the Pythagorean Theorem
MF2,629,9.1.4,Calculating Side Lengths of Right Triangles Using Trigonometry
MF2,610,9.1.5,Calculating Angles in Right Triangles Using Trigonometry
MF2,611,9.1.6,The Reciprocal Trigonometric Ratios
MF2,510,9.1.7,Trigonometric Functions of Complementary Angles
MF2,765,9.1.8,Special Trigonometric Ratios
MF2,1608,9.1.9,Calculating Areas of Right Triangles Using Trigonometry
MF2,764,9.1.10,Introduction to Radians
MF2,516,9.1.11,Trigonometric Ratios With Radians
MF2,168,9.2.1,The Law of Sines
MF2,169,9.2.2,The Law of Cosines
MF2,1275,9.2.3,The Area of a General Triangle
MF2,1848,9.3.1,Angles in the Coordinate Plane
MF2,167,9.3.2,Negative Angles in the Coordinate Plane
MF2,261,9.3.3,Coterminal Angles
MF2,1456,9.3.4,Calculating Reference Angles
MF2,112,9.3.5,Properties of the Unit Circle in the First Quadrant
MF2,204,9.3.6,Extending the Trigonometric Ratios Using the Unit Circle
MF2,4037,9.3.7,Extending the Trigonometric Ratios Using Angles in Radians
MF2,166,9.3.8,Extending the Trigonometric Ratios to Negative Angles
MF2,3829,9.3.9,Extending the Trigonometric Ratios to Large Angles
MF2,1453,9.3.10,Using the Pythagorean Identity in the First Quadrant
MF2,2021,9.3.11,Extending the Pythagorean Identity to All Quadrants
MF2,269,9.4.1,Finding Trigonometric Ratios of Quadrantal Angles
MF2,3568,9.4.2,Trigonometric Ratios of Quadrantal Angles Outside the Standard Range
MF2,268,9.4.3,Finding Trigonometric Ratios of Special Angles Using the Unit Circle
MF2,3766,9.4.4,Evaluating Trigonometric Expressions
MF2,1844,9.4.5,Further Extensions of the Special Trigonometric Ratios
MF2,1491,9.5.1,Graphing Sine and Cosine
MF2,1493,9.5.2,Graphing Tangent and Cotangent
MF2,1573,9.5.3,Graphing Secant and Cosecant
MF2,3540,9.6.1,Describing Properties of the Sine Function
MF2,3557,9.6.2,Describing Properties of the Cosine Function
MF2,3558,9.6.3,Describing Properties of the Tangent Function
MF2,3563,9.6.4,Describing Properties of the Secant Function
MF2,3567,9.6.5,Describing Properties of the Cosecant Function
MF2,3566,9.6.6,Describing Properties of the Cotangent Function
MF2,206,9.7.1,Vertical Translations of Trigonometric Functions
MF2,1661,9.7.2,Vertical Stretches of Trigonometric Functions
MF2,1659,9.7.3,Horizontal Translations of Trigonometric Functions
MF2,784,9.7.4,Horizontal Stretches of Trigonometric Functions
MF2,275,9.7.5,Combining Graph Transformations of Sine and Cosine
MF2,654,9.7.6,Graph Transformations of Tangent and Cotangent
MF2,3850,9.7.7,Combining Graph Transformations of Tangent and Cotangent
MF2,776,9.7.8,Combining Graph Transformations of Secant and Cosecant
MF2,259,9.7.9,Graphing Reflections of Trigonometric Functions
MF2,2062,9.8.1,Properties of Transformed Sine and Cosine Functions
MF2,5088,9.8.2,Finding Zeros and Extrema of Transformed Sine and Cosine Functions
MF2,2064,9.8.3,Properties of Transformed Tangent and Cotangent Functions
MF2,778,9.8.4,Properties of Transformed Secant and Cosecant Functions
MF2,1107,10.1.1,Introduction to Vectors
MF2,1100,10.1.2,The Triangle Law for the Addition of Two Vectors
MF2,1101,10.1.3,The Magnitude of a Vector
MF2,1102,10.1.4,Problem Solving Using Vector Diagrams
MF2,1103,10.1.5,Parallel Vectors
MF2,1104,10.1.6,Unit Vectors
MF2,1105,10.1.7,Linear Combinations of Vectors and Their Properties
MF2,1106,10.1.8,Describing the Position Vector of a Point Using Known Vectors
MF2,1165,10.2.1,Two-Dimensional Vectors Expressed in Component Form
MF2,244,10.2.2,Addition and Scalar Multiplication of Cartesian Vectors in 2D
MF2,176,10.2.3,Calculating the Magnitude of Cartesian Vectors in 2D
MF2,461,11.1.1,The Finite Limit of a Function
MF2,472,11.1.2,The Left and Right-Sided Limits of a Function
MF2,625,11.1.3,Finding the Existence of a Limit Using One-Sided Limits
MF2,1873,11.1.4,Limits at Infinity from Graphs
MF2,1814,11.1.5,Infinite Limits from Graphs
MF2,1716,11.2.1,"Limits of Power Functions, and the Constant Rule for Limits"
MF2,1914,11.2.2,The Sum Rule for Limits
MF2,1246,11.2.3,The Product and Quotient Rules for Limits
MF2,37,11.2.4,The Power and Root Rules for Limits
MF2,1263,11.3.1,Limits at Infinity of Polynomials
MF2,1905,11.3.2,Limits of Reciprocal Functions
MF2,1717,11.3.3,Limits of Exponential Functions
MF2,1377,11.3.4,Limits of Logarithmic Functions
