course,topic-id,topic-number,topic-name
MF3,3846,8.2.10,Relating Concavity to the Second Derivative
MF3,1046,8.2.11,Points of Inflection
MF3,339,8.2.12,The Second Derivative Test
MF3,621,8.2.13,Approximating Functions Using Local Linearity and Linearization
MF3,992,8.3.1,Estimating Derivatives Using a Forward Difference Quotient
MF3,993,8.3.2,Estimating Derivatives Using a Backward Difference Quotient
MF3,640,8.3.3,Estimating Derivatives Using a Central Difference Quotient
MF3,1177,8.4.1,Second-Degree Taylor Polynomials
MF3,3825,8.4.2,Analyzing Second-Degree Taylor Polynomials
MF3,1222,8.4.3,Third-Degree Taylor Polynomials
MF3,3771,8.4.4,Higher-Degree Taylor Polynomials
MF3,340,8.4.5,Maclaurin Series
MF3,3826,8.4.6,Taylor Series
MF3,885,8.4.7,Representing Functions as Power Series
MF3,884,8.4.8,Recognizing Standard Maclaurin Series
MF3,477,9.1.1,Approximating Areas With the Left Riemann Sum
MF3,1281,9.1.2,Approximating Areas With the Right Riemann Sum
MF3,1042,9.1.3,Left and Right Riemann Sums in Sigma Notation
MF3,945,9.1.4,Approximating Areas With the Trapezoidal Rule
MF3,1086,9.2.1,Defining Definite Integrals Using Left and Right Riemann Sums
MF3,283,9.2.2,The Fundamental Theorem of Calculus
MF3,3575,9.2.3,Applying the Fundamental Theorem of Calculus to Exponential and Trigonometric Functions
MF3,1685,9.2.4,The Sum and Constant Multiple Rules for Definite Integrals
MF3,632,9.2.5,Properties of Definite Integrals Involving the Limits of Integration
MF3,1040,9.3.1,The Area Bounded by a Curve and the X-Axis
MF3,1041,9.3.2,The Area Bounded by a Curve and the Y-Axis
MF3,2975,9.3.3,Evaluating Definite Integrals Using Symmetry
MF3,1432,9.3.4,Finding the Area Between a Curve and the X-Axis When They Intersect
MF3,1200,9.3.5,Calculating the Definite Integral of a Function Given Its Graph
MF3,626,9.3.6,Definite Integrals of Piecewise Functions
MF3,333,9.4.1,The Integral as an Accumulation Function
MF3,613,9.4.2,The Second Fundamental Theorem of Calculus
MF3,1203,9.5.1,The Average Value of a Function
MF3,395,9.5.2,The Area Between Curves Expressed as Functions of X
MF3,760,9.5.3,The Arc Length of a Planar Curve
MF3,334,10.1.1,Integrating Algebraic Functions Using Substitution
MF3,331,10.1.2,Integrating Linear Rational Functions Using Substitution
MF3,443,10.1.3,Integration Using Substitution
MF3,1159,10.1.4,Calculating Definite Integrals Using Substitution
MF3,316,10.1.5,Further Integration of Algebraic Functions Using Substitution
MF3,1112,10.1.6,Integrating Exponential Functions Using Linear Substitution
MF3,3770,10.1.7,Integrating Exponential Functions Using Substitution
MF3,478,10.1.8,Integrating Trigonometric Functions Using Substitution
MF3,1161,10.1.9,Integrating Logarithmic Functions Using Substitution
MF3,315,10.1.10,Integration by Substitution With Inverse Trigonometric Functions
MF3,282,10.2.1,Integration Using Basic Trigonometric Identities
MF3,1037,10.2.2,Integration Using the Pythagorean Identities
MF3,1038,10.2.3,Integration Using the Double-Angle Formulas
MF3,338,10.3.1,Integrating Functions Using Polynomial Division
MF3,444,10.3.2,Integrating Functions by Completing the Square
MF3,317,10.4.1,Introduction to Integration by Parts
MF3,1140,10.4.2,Using Integration by Parts to Calculate Integrals With Logarithms
MF3,416,10.4.3,Applying the Integration By Parts Twice
MF3,424,10.4.4,Integration by Parts in Cyclic Cases
MF3,1060,10.5.1,Expressing Rational Functions as Sums of Partial Fractions
MF3,1062,10.5.2,Expressing Rational Functions with Repeated Factors as Sums of Partial Fractions
MF3,1063,10.5.3,Expressing Rational Functions with Irreducible Quadratic Factors as Sums of Partial Fractions
MF3,445,10.5.4,Integrating Rational Functions Using Partial Fractions
MF3,446,10.5.5,Integrating Rational Functions with Repeated Factors
MF3,447,10.5.6,Integrating Rational Functions with Irreducible Quadratic Factors
MF3,758,10.6.1,Improper Integrals
MF3,4004,10.6.2,Improper Integrals Involving Exponential Functions
MF3,4005,10.6.3,Improper Integrals Involving Arctangent
MF3,1382,10.6.4,Improper Integrals Over the Real Line
MF3,759,10.6.5,Improper Integrals of the Second Kind
MF3,284,11.1.1,Calculating Velocity for Straight-Line Motion Using Differentiation
MF3,824,11.1.2,Calculating Acceleration for Straight-Line Motion Using Differentiation
MF3,3581,11.1.3,Determining Characteristics of Moving Objects Using Differentiation
MF3,762,11.1.4,Calculating Velocity Using Integration
MF3,3582,11.1.5,Determining Characteristics of Moving Objects Using Integration
MF3,335,11.1.6,Calculating the Position Function of a Particle Using Integration
MF3,3576,11.1.7,Calculating the Displacement of a Particle Using Integration
MF3,2036,11.2.1,Velocity and Acceleration for Plane Motion
MF3,3767,11.2.2,Calculating Displacement for Plane Motion
MF3,763,11.2.3,Calculating Velocity for Plane Motion Using Differentiation
MF3,825,11.2.4,Calculating Acceleration for Plane Motion Using Differentiation
MF3,826,11.2.5,Finding Velocity Vectors in Two Dimensions Using Integration
MF3,648,11.2.6,Finding Displacement Vectors in Two Dimensions Using Integration
MF3,620,11.3.1,Rates of Change in Applied Contexts
MF3,1044,11.3.2,Introduction to Related Rates
