course,topic,requires
MF1,533,2392
MF1,534,2470
MF1,539,543
MF1,539,2351
MF1,543,2370
MF1,543,3893
MF1,544,543
MF1,545,539
MF1,545,544
MF1,552,553
MF1,552,2364
MF1,553,534
MF1,553,3942
MF1,554,552
MF1,557,552
MF1,557,2289
MF1,558,557
MF1,558,2382
MF1,561,554
MF1,561,2433
MF1,562,535
MF1,562,2392
MF1,562,3882
MF1,562,3901
MF1,563,552
MF1,564,122
MF1,564,2370
MF1,565,3968
MF1,566,236
MF1,566,4196
MF1,566,4197
MF1,566,4198
MF1,567,2378
MF1,573,92
MF1,573,2281
MF2,577,40
MF2,577,2216
MF1,589,1987
MF1,589,2204
MF2,599,390
MF2,599,1318
MF2,599,2275
MF3,602,621
MF3,602,2976
MF3,604,37
MF3,604,1813
MF3,604,3756
MF3,604,6185
MF3,606,203
MF3,606,1958
MF3,607,1263
MF3,607,1377
MF3,607,1717
MF3,607,1719
MF2,609,1318
MF2,609,1597
MF2,609,2234
MF2,609,3555
MF2,610,609
MF2,610,753
MF2,611,633
MF2,612,474
MF3,613,333
MF3,620,296
MF3,620,1115
MF3,620,1745
MF3,620,1765
MF3,621,363
MF2,625,472
MF3,626,1200
MF2,627,354
MF2,627,1889
MF2,629,609
MF1,631,470
MF1,631,1240
MF3,632,1685
MF2,633,433
MF2,633,609
MF2,634,1254
MF3,640,992
MF3,640,993
MF1,643,3721
MF1,644,645
MF1,645,643
MF1,645,2357
MF3,648,826
MF3,648,3576
MF1,651,343
MF1,652,322
MF1,652,2202
MF1,653,426
MF2,654,206
MF2,654,784
MF2,654,1254
MF2,654,1659
MF2,654,1661
MF1,655,470
MF1,655,2607
MF1,657,645
MF1,657,655
MF2,660,370
MF2,661,84
MF2,661,393
MF2,661,422
MF2,661,1422
MF3,665,387
MF3,665,1240
MF3,666,843
MF3,666,3842
MF2,667,2271
MF2,668,138
MF2,668,667
MF2,669,667
MF2,672,1346
MF2,672,2214
MF2,673,2271
MF3,675,779
MF3,676,394
MF3,676,422
MF3,676,677
MF3,676,1422
MF3,677,675
MF3,677,4236
MF2,679,323
MF2,679,698
MF2,679,2271
MF2,680,267
MF2,680,1818
MF2,681,1352
MF2,681,1927
MF2,681,2469
MF3,684,686
MF3,684,2857
MF3,684,3838
MF2,685,2215
MF2,685,2534
MF3,686,981
MF2,688,661
MF2,688,2233
MF2,688,2327
MF3,690,1016
MF3,690,1017
MF3,691,981
MF3,692,1016
MF3,696,33
MF3,696,660
MF3,696,2336
MF3,696,2337
MF1,698,1413
MF1,698,1415
MF2,703,470
MF2,703,775
MF2,704,84
MF2,704,1415
MF2,705,703
MF2,708,440
MF2,708,2626
MF2,709,1121
MF2,711,1045
MF2,711,1081
MF2,711,1632
MF3,715,323
MF3,715,324
MF3,724,88
MF3,724,696
MF3,724,1647
MF2,725,75
MF2,725,453
MF2,725,2226
MF2,725,2227
MF2,725,3817
MF2,726,378
MF2,726,2234
MF2,727,428
MF2,727,480
MF2,728,361
MF2,728,435
MF2,729,651
MF2,729,1422
MF2,729,2183
MF3,730,1290
MF3,730,1634
MF3,733,871
MF3,733,3824
MF2,734,2310
MF2,734,2609
MF2,735,14
MF2,735,645
MF2,735,2205
MF2,736,453
MF2,736,734
MF2,736,1530
MF2,736,1531
MF3,740,183
MF1,742,2225
MF3,752,133
MF3,752,313
MF3,752,419
MF3,752,870
MF3,752,923
MF3,752,1115
MF3,752,3842
MF2,753,3817
MF1,754,1888
MF1,755,4250
MF2,756,753
MF2,756,754
MF2,757,2119
MF3,758,1159
MF3,759,315
MF3,759,478
MF3,759,3770
MF3,760,315
MF3,760,478
MF3,760,3770
MF3,762,478
MF3,762,824
MF3,762,3770
MF3,763,3581
MF3,763,3767
MF3,763,4139
MF2,764,460
MF2,764,3980
MF2,765,262
MF2,765,263
MF2,765,611
MF1,766,1509
MF1,766,2310
MF1,766,2558
MF3,773,715
MF2,774,68
MF2,775,161
MF2,775,774
MF2,776,206
MF2,776,784
MF2,776,1254
MF2,776,1573
MF2,776,1659
MF2,776,1661
MF2,778,141
MF2,778,776
MF2,778,3563
MF2,778,3567
MF2,778,5088
MF3,779,672
MF3,779,673
MF2,784,1491
MF2,784,1493
MF2,784,1586
MF3,788,1470
MF3,788,3214
MF1,790,96
MF1,790,165
MF2,793,1120
MF2,794,131
MF2,794,793
MF2,794,2826
MF2,794,2827
MF3,798,803
MF3,798,1115
MF3,799,798
MF3,799,987
MF1,802,458
MF1,802,3821
MF3,803,1875
MF3,803,2062
MF3,803,3842
MF3,806,843
MF3,806,1255
MF2,807,425
MF2,807,428
MF2,807,441
MF2,807,1422
MF2,807,1676
MF2,808,374
MF2,808,3735
MF1,811,4250
MF2,812,323
MF2,812,337
MF2,813,371
MF2,814,84
MF2,817,1530
MF2,818,378
MF2,818,2234
MF2,818,2558
MF3,824,281
MF3,824,284
MF3,824,2327
MF3,825,763
MF3,826,825
MF3,826,1085
MF3,826,3582
MF1,829,840
MF1,829,3543
MF3,831,205
MF3,831,274
MF1,837,3725
MF1,837,3979
MF1,839,398
MF1,839,418
MF1,839,2558
MF1,840,3942
MF3,842,1183
MF3,843,842
MF3,844,398
MF3,844,843
MF3,844,1425
MF3,845,398
MF3,845,843
MF3,845,6341
MF2,846,469
MF2,846,728
MF2,846,4236
MF2,847,728
MF2,847,4026
MF3,848,842
MF3,848,853
MF3,849,843
MF3,849,848
MF3,850,398
MF3,850,849
MF3,850,1425
MF3,850,3849
MF3,852,666
MF3,852,849
MF3,852,3824
MF3,853,573
MF3,853,1404
MF3,861,2204
MF3,862,1167
MF3,863,147
MF3,864,146
MF3,864,152
MF3,864,375
MF3,864,863
MF3,865,175
MF3,865,1331
MF3,866,1196
MF3,866,2706
MF3,867,577
MF3,867,866
MF2,870,1482
MF3,871,2048
MF3,872,418
MF3,872,871
MF3,873,872
MF3,873,1255
MF3,874,398
MF3,874,733
MF3,874,6341
MF3,875,1124
MF3,875,1255
MF3,884,885
MF3,885,30
MF3,885,347
MF3,885,684
MF3,885,691
MF3,885,3826
MF3,892,735
MF2,893,157
MF2,893,1456
MF3,894,34
MF3,894,227
MF3,894,893
MF3,894,936
MF2,895,31
MF2,895,419
MF2,895,425
MF2,895,464
MF3,896,157
MF3,896,724
MF3,897,104
MF3,897,896
MF3,898,894
MF3,905,33
MF3,905,892
MF3,913,1491
MF3,914,1491
MF3,915,1493
MF3,923,1259
MF3,925,894
MF3,925,3540
MF3,931,866
MF3,931,3823
MF3,932,915
MF3,932,931
MF3,932,3540
MF3,932,3557
MF3,933,867
MF3,933,932
MF3,933,1358
MF3,934,864
MF3,934,1729
MF3,934,4638
MF3,935,459
MF3,935,1456
MF3,936,935
MF3,936,3766
MF3,937,842
MF3,937,936
MF2,942,45
MF2,942,355
MF2,942,361
MF2,942,374
MF2,942,1676
MF2,942,2337
MF3,945,363
MF3,945,477
MF3,945,1281
MF3,945,1353
MF3,947,203
MF3,947,1258
MF3,981,675
MF3,981,690
MF3,982,165
MF3,982,981
MF3,982,1088
MF3,983,982
MF3,983,3958
MF2,986,332
MF2,987,986
MF2,987,3562
MF2,987,6341
MF3,988,864
MF3,988,866
MF3,989,866
MF3,989,1169
MF3,989,1353
MF3,989,1745
MF3,992,296
MF3,993,296
MF3,997,760
MF3,997,798
MF3,997,1038
MF3,998,431
MF3,998,936
MF3,999,760
MF3,999,3854
MF3,1000,1038
MF3,1000,2173
MF3,1004,680
MF3,1004,685
MF3,1004,2857
MF3,1004,3832
MF2,1007,1108
MF2,1007,1114
MF3,1016,685
MF3,1017,673
MF3,1017,685
MF3,1020,686
MF3,1020,691
MF3,1023,154
MF3,1023,155
MF3,1023,934
MF1,1024,1131
MF1,1024,2561
MF1,1024,3762
MF3,1029,430
MF3,1029,733
MF3,1029,872
MF2,1036,1108
MF2,1036,1116
MF3,1037,282
MF3,1037,1455
MF3,1037,3857
MF3,1038,271
MF3,1038,831
MF3,1038,1037
MF3,1040,342
MF3,1040,1685
MF3,1041,1432
MF3,1042,477
MF3,1042,1281
MF3,1042,3817
MF3,1042,3958
MF3,1044,57
MF3,1044,284
MF3,1044,620
MF1,1045,487
MF1,1045,4236
MF3,1046,3846
MF2,1056,734
MF2,1056,5204
MF2,1057,3753
MF2,1057,5204
MF2,1060,708
MF3,1060,708
MF3,1061,478
MF3,1061,1181
MF3,1061,3770
MF3,1062,487
MF3,1062,1060
MF3,1063,1060
MF3,1076,207
MF3,1076,270
MF3,1076,274
MF3,1076,4236
MF1,1081,487
MF1,1081,4236
MF3,1085,478
MF3,1085,3770
MF3,1085,4139
MF3,1086,1042
MF3,1086,1873
MF3,1087,1903
MF3,1087,2271
MF3,1088,680
MF3,1088,2048
MF2,1100,1107
MF2,1101,169
MF2,1101,1100
MF2,1102,1100
MF2,1103,1101
MF2,1104,1103
MF2,1105,487
MF2,1105,1103
MF2,1106,1102
MF2,1106,1105
MF2,1107,1379
MF2,1107,3554
MF2,1108,986
MF2,1109,280
MF2,1109,1116
MF2,1110,1109
MF3,1112,312
MF3,1112,334
MF3,1112,1159
MF2,1114,332
MF2,1114,818
MF2,1114,1530
MF2,1115,305
MF2,1115,1007
MF2,1115,1036
MF2,1116,1114
MF2,1117,1249
MF2,1120,709
MF2,1121,130
MF2,1121,470
MF3,1124,1125
MF3,1124,2978
MF3,1125,117
MF3,1128,1124
MF1,1131,297
MF1,1131,328
MF3,1132,1124
MF3,1140,317
MF2,1144,460
MF2,1144,552
MF2,1144,698
MF2,1144,1745
MF2,1144,2467
MF2,1144,3748
MF2,1146,121
MF2,1146,470
MF2,1146,1404
MF2,1146,2467
MF2,1146,3748
MF2,1150,3821
MF1,1153,391
MF1,1153,470
MF1,1153,1289
MF3,1154,4315
MF3,1156,3404
MF1,1157,360
MF1,1157,1331
MF3,1158,3764
MF3,1158,6666
MF3,1159,443
MF3,1159,1685
MF3,1161,1159
MF2,1165,1104
MF2,1165,1105
MF3,1166,1165
MF3,1167,861
MF3,1168,29
MF3,1168,137
MF3,1169,152
MF3,1169,1165
MF3,1171,147
MF3,1171,1195
MF3,1177,281
MF3,1177,621
MF3,1179,466
MF3,1181,305
MF3,1181,1007
MF3,1181,3215
MF3,1183,459
MF3,1183,485
MF3,1183,1404
MF3,1195,146
MF3,1195,177
MF3,1195,862
MF3,1196,1198
MF3,1198,147
MF3,1198,1195
MF3,1200,632
MF3,1200,1040
MF3,1200,1353
MF3,1200,1745
MF3,1203,478
MF3,1203,1200
MF2,1208,336
MF2,1208,393
MF2,1208,394
MF2,1208,1422
MF2,1208,1676
MF3,1211,339
MF3,1211,434
MF3,1211,1352
MF3,1216,364
MF3,1216,459
MF3,1216,1211
MF3,1222,3825
MF1,1223,267
MF1,1223,297
MF1,1224,267
MF2,1226,2271
MF2,1226,2431
MF1,1240,356
MF1,1240,396
MF1,1244,75
MF1,1244,452
MF3,1245,607
MF3,1245,1087
MF2,1246,1914
MF2,1249,1110
MF2,1251,3821
MF2,1252,3821
MF2,1254,1252
MF2,1254,1584
MF2,1254,1586
MF3,1255,116
MF3,1255,271
MF3,1255,487
MF3,1255,803
MF3,1255,831
MF3,1255,1455
MF3,1255,3857
MF3,1257,803
MF3,1257,947
MF3,1257,6341
MF3,1258,1565
MF3,1258,1566
MF3,1258,1567
MF3,1258,3563
MF3,1258,3566
MF3,1258,3567
MF3,1259,1258
MF2,1262,1377
MF2,1262,1717
MF2,1262,1905
MF2,1262,1958
MF2,1262,1986
MF2,1263,37
MF2,1263,1873
MF2,1263,2050
MF2,1275,1608
MF3,1277,175
MF3,1277,176
MF3,1277,512
MF3,1278,177
MF3,1278,209
MF3,1278,1277
MF3,1281,84
MF3,1281,1352
MF3,1281,1628
MF3,1285,1278
MF3,1286,245
MF3,1287,1286
MF3,1287,1295
MF1,1289,125
MF3,1290,165
MF3,1290,673
MF3,1290,754
MF3,1290,1154
MF3,1295,1285
MF1,1297,135
MF3,1299,245
MF3,1299,1275
MF1,1317,1378
MF1,1318,1927
MF1,1319,496
MF1,1319,1317
MF1,1319,2331
MF1,1321,1319
MF1,1321,1458
MF1,1322,1321
MF1,1322,1462
MF1,1331,362
MF1,1331,2012
MF2,1346,668
MF2,1346,669
MF3,1351,988
MF3,1351,989
MF1,1352,1461
MF1,1352,2174
MF1,1352,3872
MF1,1353,1397
MF1,1353,2278
MF3,1358,866
MF3,1358,2217
MF3,1359,752
MF3,1359,2147
MF3,1359,2859
MF3,1360,1359
MF2,1361,30
MF2,1361,1116
MF2,1361,3769
MF2,1363,2217
MF2,1377,1246
MF2,1377,1707
MF2,1377,1814
MF2,1377,1873
MF1,1379,236
MF1,1379,297
MF1,1379,1378
MF3,1382,1040
MF3,1382,4004
MF3,1382,4005
MF1,1386,1317
MF1,1386,1322
MF1,1386,1403
MF1,1386,1601
MF3,1395,3281
MF1,1397,1352
MF1,1397,1644
MF1,1403,1511
MF1,1403,1601
MF1,1404,178
MF1,1404,2278
MF1,1412,64
MF1,1413,137
MF1,1413,651
MF1,1414,343
MF1,1415,68
MF1,1415,651
MF1,1417,1428
MF1,1417,1457
MF2,1422,375
MF2,1422,4951
MF2,1423,382
MF2,1423,430
MF2,1423,813
MF2,1424,67
MF2,1424,813
MF2,1425,1423
MF2,1425,4034
MF2,1427,3725
MF2,1427,3979
MF1,1428,1289
MF1,1428,1331
MF2,1429,425
MF2,1429,661
MF3,1432,660
MF3,1432,1040
MF3,1432,1587
MF3,1432,2049
MF3,1432,3748
MF1,1437,1507
MF1,1437,1510
MF2,1451,323
MF2,1451,661
MF2,1451,704
MF2,1451,1463
MF2,1453,112
MF3,1454,205
MF3,1455,205
MF2,1456,1848
MF1,1457,1223
MF1,1457,1224
MF1,1457,1289
MF1,1457,2012
MF1,1458,496
MF1,1458,1511
MF1,1459,1317
MF1,1459,1462
MF1,1459,1509
MF1,1461,521
MF1,1461,1386
MF1,1461,1508
MF1,1461,3751
MF1,1462,1379
MF1,1463,651
MF1,1463,1379
MF2,1467,1819
MF2,1467,2484
MF2,1467,3872
MF1,1468,1353
MF1,1468,1515
MF3,1470,1843
MF2,1472,627
MF2,1472,870
MF2,1472,1551
MF2,1473,1599
MF2,1474,1473
MF2,1475,1599
MF2,1482,28
MF2,1482,391
MF2,1482,1475
MF3,1483,1491
MF3,1483,1889
MF3,1483,3734
MF3,1486,1491
MF3,1486,1889
MF3,1486,3734
MF3,1487,1493
MF3,1487,1889
MF3,1487,3734
MF2,1491,754
MF2,1491,1628
MF2,1491,1844
MF2,1491,2022
MF2,1491,2148
MF2,1493,1844
MF2,1493,2022
MF2,1493,2046
MF2,1493,2148
MF2,1493,3728
MF3,1495,394
MF3,1495,451
MF3,1495,661
MF3,1495,1318
MF1,1499,125
MF1,1499,2560
MF1,1499,3585
MF1,1499,6642
MF1,1500,1378
MF1,1505,2172
MF1,1505,3902
MF1,1505,3906
MF1,1505,3907
MF1,1505,3910
MF1,1507,1509
MF1,1507,3554
MF1,1508,1511
MF1,1509,2172
MF1,1509,3951
MF1,1510,1509
MF1,1511,137
MF1,1511,1437
MF1,1515,1386
MF2,1516,92
MF2,1516,470
MF2,1516,1317
MF2,1517,1509
MF2,1517,1516
MF2,1518,95
MF2,1518,521
MF2,1518,1516
MF1,1530,1153
MF1,1530,1628
MF1,1530,3728
MF1,1531,1153
MF1,1531,1628
MF1,1531,3728
MF2,1532,726
MF2,1532,818
MF2,1532,1530
MF2,1532,2022
MF2,1532,2046
MF2,1532,3734
MF3,1535,2225
MF3,1535,3822
MF2,1540,2038
MF2,1540,2841
MF2,1551,226
MF3,1565,914
MF3,1565,1573
MF3,1566,913
MF3,1566,1573
MF3,1567,915
MF2,1573,1491
MF2,1573,2046
MF2,1573,2707
MF2,1573,3728
MF1,1576,388
MF1,1576,458
MF2,1583,87
MF2,1583,343
MF2,1583,870
MF2,1584,1251
MF2,1585,3821
MF2,1586,3821
MF1,1587,430
MF1,1588,653
MF1,1588,1240
MF1,1588,2231
MF1,1589,165
MF1,1589,1588
MF1,1589,3593
MF1,1590,1353
MF1,1590,2327
MF2,1594,375
MF2,1594,393
MF2,1594,430
MF2,1594,1415
MF2,1594,1474
MF2,1594,1551
MF2,1597,1601
MF2,1599,726
MF2,1599,818
MF2,1600,454
MF2,1600,1875
MF1,1601,496
MF1,1601,1462
MF2,1608,433
MF2,1608,629
MF2,1608,765
MF2,1608,1397
MF2,1609,2022
MF2,1609,4034
MF2,1609,6351
MF2,1610,1551
MF2,1610,1707
MF2,1610,4034
MF1,1628,802
MF1,1629,2472
MF2,1632,96
MF2,1632,1634
MF2,1634,651
MF2,1634,673
